"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2002",2106161,2679421,1270997,17257097,2442992,1774152,416783,306099,8114409,4327691,684591,6349239,3171168,1637909,1413014,1944020,2004222,675232,2869954,3431082,5017141,2859602,1286236,3000908,467203,954224,1129668,702280,4346237,874496,9275515,4184713,340631,5852985,1686568,1835325,6218643,550256,1949135,417517,2906591,10748810,1184751,343139,3726468,3082839,799998,3024319,269546
"2003",2120225,2736000,1271696,17277618,2486229,1784260,415160,306422,8210696,4394437,690005,6300221,3182988,1606798,1437027,1960045,2018324,683535,2882219,3422409,5027859,2874663,1301250,3020821,471489,964258,1147036,707524,4347154,889730,9263401,4255631,344676,5872372,1685572,1845544,6170359,560483,1997977,423035,2912187,10914664,1200236,345971,3753703,3127404,786552,3053642,273620
"2004",2136458,2796269,1300318,17383631,2532361,1774193,420384,312027,8440428,4451800,703062,6325447,3167797,1601788,1463707,1963875,2037176,686000,2889324,3395511,5062376,2880428,1313102,3015650,480281,969981,1177634,716186,4349171,902265,9355953,4253126,352466,5870479,1689608,1838112,6213778,558688,2033310,427664,2878736,10992359,1231160,347673,3795246,3197095,783658,3034581,274794
"2005",2146025,2883226,1345913,17530064,2563900,1796976,432409,315616,8720970,4586420,731670,6397808,3205436,1629764,1465640,1999777,2069403,697153,2924546,3384116,5083130,2879760,1317392,3009334,486054,972992,1223831,725849,4391579,918156,9460866,4317428,355545,5890046,1703293,1845761,6251402,565735,2068599,430606,2904794,11124240,1272445,350766,3897042,3263703,790982,3021086,276527
"2006",2167809,2990441,1365410,17654109,2622243,1828651,441184,316083,9000204,4710775,747377,6526273,3235110,1657584,1467095,2029231,1988513,701541,2963866,3413339,5076656,2887832,1290171,3029689,493614,970052,1285318,731854,4445879,928094,9508149,4444967,361459,5945482,1715794,1885385,6294504,572601,2109097,435007,3036029,11327995,1318450,357007,3978641,3323938,806168,3058935,281247
"2007",2175612,3034016,1369284,17893080,2664677,1856209,443573,322237,9157124,4815818,754438,6665601,3207687,1660677,1483458,2032082,2030434,700468,2970094,3426009,5011120,2906390,1303514,3034579,502070,978763,1330396,737942,4441797,934027,9522056,4512856,367234,5990292,1726259,1921766,6342997,573173,2125891,442499,3063669,11431631,1359129,353739,4036835,3403163,811160,3087828,286560
"2008",2176489,3104863,1375257,18178123,2716625,1881454,447041,330544,9215524,4879253,755153,6657227,3232097,1679293,1499676,2030738,2084835,701646,3001953,3452468,4921466,2925088,1306772,3028857,509163,989757,1363574,742781,4504432,944548,9664773,4560059,371025,5965166,1746466,1955121,6451535,570328,2142232,446618,3054785,11664390,1371201,354899,4133443,3478577,812905,3091796,293279
"2009",2162999,3128110,1358911,18215140,2722982,1891077,437500,335672,9094825,4787749,757131,6618658,3193989,1687411,1518207,2060162,2064768,696219,3032700,3470382,4903544,2941976,1269219,3049563,501014,991583,1349299,744227,4550645,940352,9647485,4570789,368665,5906768,1764432,1976638,6400263,567280,2152745,446010,3052678,11910799,1365850,359836,4118171,3535200,814027,3100348,300120
"2010",2196042,3089705,1353338,18336271,2724417,1911712,434419,346065,9212066,4696676,761056,6625321,3175192,1678281,1500764,2054375,2086076,695182,3073826,3480083,4798954,2938795,1306608,3056484,500525,993398,1358578,738257,4555330,936088,9595362,4616691,378342,5846886,1768284,1984039,6380949,566704,2155668,441339,3090795,12241970,1356097,359402,4157658,3511326,811125,3081512,303297
"2011",2201473,3039086,1361789,18419494,2734416,1913447,443220,350842,9302491,4748579,764890,6586045,3182463,1662881,1491258,2055500,2073353,699171,3095984,3469585,4686948,2944331,1344904,3049016,501328,1003437,1373663,736077,4565727,929862,9517788,4634470,388502,5772420,1773880,1991325,6395026,560455,2171046,440865,3130116,12495726,1351420,358159,4214262,3459200,807606,3080399,306886
"2012",2175942,3034050,1341408,18554763,2757126,1887861,445476,365025,9395048,4783313,769429,6583808,3170442,1648870,1484016,2057415,2080806,702455,3120468,3484781,4671183,2954950,1319007,3018211,506479,1016459,1378361,740323,4588106,928050,9615035,4682671,397892,5710010,1799898,1953631,6464605,558089,2178158,442551,3110571,12678890,1374622,354754,4230047,3471158,809034,3074255,307542
"2013",2168594,3041203,1307465,18671637,2779631,1869069,442490,373495,9472960,4758725,771154,6554978,3191866,1673590,1486764,2057370,2106621,707188,3124102,3508542,4728376,2965675,1273643,3015888,513768,1022062,1384463,742017,4534402,922960,9631802,4680748,406759,5725509,1803215,1911207,6441752,556910,2180093,444975,3081528,12904629,1409607,351209,4245678,3460038,799630,3084978,306767
"2014",2150118,3090628,1300608,18811395,2817334,1885126,451767,377448,9637536,4756708,777238,6524579,3230540,1704575,1500353,2005252,2157232,698928,3111329,3557472,4750279,2974102,1236310,3058118,516437,1022152,1394599,741178,4518712,918206,9569062,4656194,416367,5719472,1784035,1942025,6378495,553332,2197587,448201,3011495,13111548,1431104,348868,4261175,3488183,790035,3093918,306928
