2008 09,18,58,40,16,26,16,34,21,49,57,94,48,46,65,55,73,50,32,39,46,38
2008 10,13,38,28,33,23,35,33,23,42,93,90,31,63,49,56,39,48,52,31,34,37
2008 11,15,58,39,33,23,23,19,16,47,73,75,30,61,34,43,54,48,53,26,59,46
2008 12,10,55,31,39,23,18,16,28,47,77,71,29,75,53,90,53,43,40,31,42,33
2009 01,7,44,29,30,18,18,25,38,36,73,70,27,39,43,55,45,47,42,32,50,43
2009 02,11,39,14,22,14,18,18,12,33,58,59,11,19,27,29,33,34,24,26,40,25
2009 03,8,44,13,33,12,18,21,7,41,54,50,18,24,25,37,32,27,28,20,30,25
2009 04,10,41,17,11,10,30,13,19,41,70,59,16,25,29,50,44,46,38,25,46,29
2009 05,13,51,26,5,14,41,25,9,49,37,61,18,23,40,45,61,39,40,46,36,22
2009 06,12,44,22,15,15,20,19,11,39,69,63,12,29,26,37,50,49,30,33,38,34
2009 07,26,44,27,16,13,20,19,19,49,63,98,23,22,27,44,41,55,31,40,55,33
2009 08,30,58,31,22,14,47,25,22,61,74,88,27,25,25,55,50,62,42,47,51,31
2009 09,19,50,42,7,12,34,31,15,50,65,65,21,27,56,35,66,47,38,32,39,38
2009 10,14,45,26,9,10,19,28,14,45,78,72,29,40,45,57,82,54,49,27,49,37
2009 11,15,47,28,11,10,32,24,10,42,74,66,24,21,45,61,79,43,47,30,61,48
2009 12,11,42,23,17,10,32,23,17,33,55,79,18,27,29,42,53,53,35,28,50,35
2010 01,12,47,23,8,11,36,9,18,41,54,58,18,35,27,55,47,56,57,27,45,25
2010 02,5,26,6,9,9,12,12,30,17,40,26,12,15,13,27,36,30,25,16,23,21
2010 03,8,45,23,8,18,20,28,49,33,67,60,37,21,25,44,68,37,25,13,43,33
2010 04,11,39,25,4,11,28,20,12,35,32,71,37,18,44,55,47,21,26,28,49,31
2010 05,6,53,26,11,8,24,30,12,42,72,54,24,21,46,49,51,36,28,23,76,27
2010 06,16,62,29,6,3,23,38,17,63,59,75,21,36,35,43,85,48,30,20,52,43
2010 07,16,48,30,16,10,26,19,16,49,59,74,25,31,51,43,50,54,28,28,58,43
2010 08,8,46,43,19,14,26,32,27,47,58,89,19,42,28,64,54,70,32,36,62,40
2010 09,18,67,37,8,11,21,22,29,49,62,82,31,49,35,46,46,59,38,27,45,45
2010 10,20,37,42,11,16,24,34,26,51,60,67,36,46,37,48,69,50,42,34,41,34
2010 11,16,54,52,6,10,23,43,22,52,45,72,38,40,34,47,83,65,28,22,42,27
2010 12,17,57,30,14,11,16,24,17,40,44,78,18,36,25,42,72,50,34,30,44,30
2011 01,16,49,18,5,9,35,39,16,53,42,61,20,30,28,41,59,45,36,28,32,25
2011 02,9,60,17,5,4,32,27,21,46,39,62,20,36,15,22,37,47,31,40,32,40
2011 03,14,67,22,7,4,24,39,21,50,51,83,27,24,35,46,51,45,36,38,47,36
2011 04,13,50,21,11,8,25,24,15,66,53,69,20,25,45,49,51,51,28,24,29,37
2011 05,20,62,15,13,7,14,31,17,57,61,69,27,29,31,43,68,43,27,42,35,45
2011 06,15,53,36,15,10,27,27,20,80,57,85,24,39,37,36,62,55,26,44,37,43
2011 07,26,64,38,10,5,49,40,19,71,84,89,18,29,38,36,60,48,37,38,61,43
2011 08,22,48,35,22,12,19,59,21,109,79,98,37,42,35,51,63,45,37,57,53,46
2011 09,24,62,29,8,8,48,41,13,93,77,94,27,43,30,48,66,40,32,42,57,39
2011 10,24,86,26,16,20,27,24,24,74,97,98,35,53,30,28,83,51,31,34,51,73
2011 11,20,112,27,10,15,34,25,20,61,87,89,29,39,39,48,70,41,36,22,48,34
2011 12,14,78,23,10,6,24,37,9,66,75,82,38,34,46,45,80,50,46,29,60,39
2012 01,15,88,16,14,6,41,26,16,55,81,65,27,52,49,51,67,40,51,30,54,59
2012 02,15,50,19,18,16,24,23,18,45,64,67,17,38,23,32,57,36,16,26,39,32
2012 03,23,54,40,22,8,25,17,34,42,64,54,12,23,32,38,72,30,35,31,38,44
2012 04,27,53,31,11,11,17,34,24,39,83,66,16,37,35,31,51,39,33,25,47,25
2012 05,20,55,39,10,14,14,19,26,54,86,59,15,33,32,39,58,47,27,36,39,45
2012 06,20,52,51,11,4,19,27,16,40,73,72,26,39,39,51,39,48,27,29,38,43
2012 07,23,51,61,18,20,24,26,32,45,56,75,20,42,38,52,78,56,35,21,32,37
2012 08,21,53,56,25,11,20,27,23,67,76,86,18,45,41,52,56,48,41,50,47,53
2012 09,21,73,38,16,14,39,31,12,53,84,78,20,51,35,42,67,42,40,44,56,57
2012 10,19,62,37,23,13,49,40,31,55,77,80,18,50,41,37,58,60,45,38,48,42
2012 11,10,57,24,11,26,30,29,23,69,76,66,22,32,29,51,64,56,26,43,41,47
2012 12,8,56,36,9,21,25,13,15,67,56,70,20,48,30,39,69,34,33,36,62,53
2013 01,10,51,23,27,20,49,24,30,78,56,77,21,30,31,48,52,50,27,27,60,27
2013 02,9,58,15,12,18,26,27,11,79,31,65,18,15,37,29,36,42,19,32,34,36
2013 03,11,59,19,15,5,37,16,14,56,38,75,22,19,28,46,55,35,36,26,27,34
2013 04,5,53,19,16,11,32,23,26,56,57,56,18,17,47,39,42,44,34,33,31,32
2013 05,15,44,23,20,7,32,19,15,63,32,81,19,16,46,32,47,41,31,32,31,31
2013 06,9,62,26,8,10,20,19,31,64,48,88,22,30,47,57,51,34,37,38,38,43
2013 07,14,82,20,13,13,24,19,27,52,44,80,27,39,52,53,64,40,31,30,39,41
2013 08,16,82,30,5,9,30,13,10,62,51,73,24,32,37,63,45,42,33,59,56,34
2013 09,15,67,39,14,13,23,18,17,46,60,58,18,45,28,41,57,49,26,44,38,45
2013 10,9,52,38,10,7,24,21,13,54,57,65,21,36,37,35,53,32,38,25,30,44
2013 11,8,37,31,14,5,35,25,8,48,42,52,20,34,31,57,60,36,35,28,22,38
2013 12,8,60,31,11,9,46,14,10,41,41,67,15,35,29,49,58,43,31,29,32,41
2014 01,10,66,20,11,10,42,19,12,52,35,64,34,33,26,40,56,39,35,27,23,32
2014 02,7,37,20,6,15,38,17,6,29,25,43,17,19,29,40,28,30,17,18,21,37
2014 03,6,42,13,11,8,41,24,11,35,31,43,26,21,50,40,38,35,33,19,26,25
2014 04,10,40,22,11,18,22,29,21,37,31,74,25,22,23,23,51,44,32,15,21,30
2014 05,12,38,42,11,17,21,24,23,39,39,60,27,20,29,22,49,39,36,39,37,36
2014 06,11,47,31,14,12,26,16,20,59,48,75,21,25,25,28,60,42,40,26,33,35
2014 07,11,57,33,11,11,21,27,23,46,48,94,14,32,33,38,70,47,34,27,40,35
2014 08,17,68,28,9,7,33,20,17,46,35,66,25,31,29,48,82,45,32,45,25,48
2014 09,5,39,18,7,4,40,22,11,60,36,67,22,21,23,46,44,35,28,44,34,44
2014 10,14,54,20,7,9,44,26,7,70,49,62,24,30,43,46,67,35,38,48,28,36
2014 11,9,32,11,8,9,30,18,17,43,37,63,14,23,28,28,59,35,19,29,32,31
2014 12,5,44,23,13,10,33,15,11,62,43,49,26,26,36,32,60,34,34,32,37,37
