date,LA.death,LA.o3,LA.co,RS.death,RS.o3,RS.co,SD.death,SD.o3,SD.co,SJ.death,SJ.o3,SJ.co,SA.death,SA.o3,SA.co
4/28/1999,172,31.13437752,407.5177326,28,43.37993456,113.5721515,28,42.53683409,579.5652761,48,48.67898569,455.6508597,39,40.2067287,511.9439374
4/29/1999,145,26.31521056,456.4857774,28,36.09528858,409.0784052,28,35.67849146,514.8512894,50,42.44166223,509.1184958,45,35.86582157,598.4093448
4/30/1999,155,25.88863232,407.2186762,31,30.06582448,462.9849061,23,30.44446351,591.4937698,55,37.11288665,661.6327807,36,32.38409042,609.4592681
5/1/1999,157,27.55805261,716.3451604,27,38.41314268,759.0270805,30,40.93712959,719.8319235,49,35.88380335,783.3879676,40,32.64328896,875.7136814
5/2/1999,149,29.91950341,487.7140452,25,41.83556189,581.6893795,27,44.51906958,633.4736858,48,47.00402958,580.2852472,34,35.90119787,580.3651266
5/3/1999,152,28.48612038,380.8210489,32,39.11027977,382.0433736,20,37.82920544,490.5822955,46,43.7938254,590.0686136,37,38.45000563,508.5409828
5/4/1999,143,28.78402037,546.6957104,36,42.69896415,344.0062347,18,43.5672405,562.3220551,43,42.22859705,638.2839053,44,37.65942265,616.1557509
5/5/1999,163,26.48596475,928.4947867,31,35.17983138,935.030654,19,40.90124221,764.1548896,37,31.74240681,886.5476953,34,34.96730647,776.5254999
5/6/1999,170,29.64769317,1032.763487,25,45.33384255,1149.819027,15,48.79854557,750.0006293,57,34.1016534,970.0898764,32,36.21510515,978.6024228
5/7/1999,160,26.71636983,832.1148613,22,52.75032908,1010.057456,25,52.85851517,757.0794385,47,39.17931712,823.7278455,43,35.64025273,758.1256588
5/8/1999,150,36.7705275,416.3630065,37,45.48719226,531.9752639,28,52.00079504,655.2469906,48,46.17698402,662.7354083,40,45.15087961,413.4839024
5/9/1999,138,43.32448088,339.8108936,20,51.22814925,324.6256511,18,53.71742384,458.8341118,42,52.74583278,495.9642488,33,51.02277152,388.4049614
5/10/1999,150,33.48153365,562.3011737,17,49.45505834,485.8049244,26,47.11917024,617.8891394,50,42.39059645,662.8957053,50,41.40788611,577.895363
5/11/1999,139,26.35051441,778.9159806,21,44.86874737,779.6091942,20,43.80823608,768.3561848,46,41.93975403,710.2140555,34,38.56378603,578.0789456
5/12/1999,162,33.67433066,748.1961094,23,49.35102329,788.3404507,30,52.02475701,788.5565542,55,49.66054156,793.9214653,39,49.26540916,495.1453064
5/13/1999,151,40.07393885,478.3040859,34,53.13669961,581.0640072,18,49.03084982,642.9876784,43,45.3450139,659.9623003,38,42.86714826,346.0383015
5/14/1999,145,39.15408997,441.3682276,31,51.384909,405.7096296,29,53.30464335,591.6282112,44,49.37400405,577.8960243,47,46.19126207,360.3707078
5/15/1999,145,42.80071618,422.3775872,14,56.63385268,393.1188018,18,57.65096781,598.4015667,49,53.03895363,488.6029129,38,46.51784668,357.5111978
5/16/1999,151,34.96860453,517.5354017,17,55.74562224,455.0663895,25,53.88900063,672.9075827,41,49.50323793,523.0519935,40,47.67225633,392.2657404
5/17/1999,140,31.63246623,896.2714081,23,46.640888,916.0100203,19,53.36068749,796.707014,50,34.48539489,837.8869734,32,37.61170354,714.3276887
5/18/1999,154,29.46773119,846.1558614,35,50.26158029,841.0640072,29,55.12710777,831.2741799,47,38.4391872,684.4715279,45,34.7016795,541.1839211
5/19/1999,133,28.82854515,413.6446882,19,42.25917736,575.6854224,25,43.38873309,736.2989303,47,41.57109247,588.7424559,43,40.16686478,346.9144573
5/20/1999,133,28.18670634,374.6794916,29,41.19516864,752.1368532,19,45.46807145,685.1192327,48,43.01009611,510.3177634,29,40.18713725,265.2953725
5/21/1999,128,28.03174187,364.9971523,33,38.9396598,836.0527045,33,43.46435981,701.1091701,51,43.55748159,549.5446271,36,39.99591043,343.5236221
5/22/1999,121,33.47028234,317.6600428,24,34.72892113,674.9880827,21,42.90555564,629.4537785,44,45.32713165,481.2933475,38,41.34937847,289.8074402
5/23/1999,144,26.56805099,469.7572192,24,45.14989237,643.487142,24,46.88723607,701.9597635,50,36.8966862,583.8720588,38,36.05047906,421.5574843
5/24/1999,131,22.08352022,771.4390646,26,39.60922022,1050.748343,28,39.36874799,973.6990455,49,38.75926473,703.0879883,35,24.25933908,824.8028552
5/25/1999,152,27.37815285,627.3229257,21,50.87614566,865.834704,17,49.25658091,910.6558912,52,40.94237875,618.1356495,41,33.05640637,491.2144995
5/26/1999,144,32.15440787,565.3564521,19,51.75841187,498.8529639,21,52.05061095,762.8296677,47,38.06222364,628.6985746,43,35.8857679,430.0755095
5/27/1999,154,32.64575918,622.4869812,23,51.14710636,667.0854485,21,51.29438235,828.047083,44,41.07293228,714.9646017,32,37.96986226,528.0129827
5/28/1999,143,33.38410299,591.9203269,30,52.31853579,582.1062943,26,55.5153472,815.0037567,42,43.19806319,707.5052971,53,46.19720292,448.8368297
5/29/1999,159,41.94836848,325.6546157,23,50.07011034,336.084853,20,55.77349773,678.0466046,33,49.66377248,611.2228754,29,49.1514265,347.7807816
5/30/1999,133,37.54861005,201.3092964,27,44.29035465,213.4404218,24,48.64716765,560.6554285,48,44.29518367,525.0986774,44,41.7809373,312.610134
5/31/1999,157,34.36165577,286.4398614,25,46.19311432,347.7465564,27,48.91761312,628.046314,48,42.99385781,583.7846602,30,42.04829711,344.2534962
6/1/1999,145,19.08909063,685.6441009,34,30.17145305,650.074946,21,32.81096228,710.6552487,47,23.51596477,946.7413371,33,23.14471051,585.7484198
6/2/1999,148,24.22857573,328.0325599,26,30.18013748,135.8010666,25,31.65063114,523.6988376,54,34.20719019,613.7693318,37,30.77186675,339.3174329
6/3/1999,122,22.33007859,358.9773143,26,32.93949925,49.99155695,30,35.04178056,495.1410244,53,28.31902007,597.0179832,34,31.63681717,504.5021862
6/4/1999,137,19.66466625,610.758811,23,31.92155526,463.8971556,19,31.97499627,636.7418615,43,32.01301733,529.6580098,53,30.55440733,518.5819956
6/5/1999,152,25.22221977,654.9275983,18,37.9499137,501.4626707,21,41.35993694,701.9594675,48,32.1840013,630.1350649,31,32.21705938,685.2502415
6/6/1999,140,31.64942856,588.0538865,22,47.87400988,464.8341085,24,50.27169772,662.8290288,35,39.42198719,504.6107986,45,34.9413724,549.9459027
6/7/1999,183,27.61398681,583.2507629,38,45.55918633,438.4355713,24,49.29974779,669.3502627,48,36.98087397,578.9002401,38,36.96577769,596.2710963
6/8/1999,156,27.01348533,508.0544596,26,45.37140623,432.298982,16,50.1654967,647.6112297,56,42.91866607,558.6836974,34,36.87728664,609.3383982
6/9/1999,115,33.96405072,468.7406996,24,48.5673204,273.6857201,26,51.9687102,656.3069646,55,42.85576605,577.134365,46,42.11683399,564.5021862
6/10/1999,162,32.09307599,515.1262062,18,51.74792276,393.5924106,24,51.96455227,682.3939606,60,43.89529497,546.8348548,39,41.36066961,499.7374453
6/11/1999,129,29.31523623,695.7654028,21,47.58827653,523.0475675,27,53.69895725,761.0502657,50,40.88112132,597.6422341,37,41.86131903,618.1174334
6/12/1999,152,34.9602606,832.8978953,30,63.10265385,654.6870716,30,66.90104578,817.1766883,47,47.88230014,587.2617673,42,48.01564466,656.61654
6/13/1999,144,30.66788061,823.2387859,24,63.74852856,707.5637839,25,68.09157309,784.5679723,39,43.18117448,583.0543506,34,38.29270626,575.9375644
6/14/1999,157,29.63985908,1023.284006,20,51.21558724,846.7597338,23,57.69600708,834.5680384,45,28.65672376,851.2889788,47,31.40612277,653.6285916
6/15/1999,129,24.74942516,788.8569642,30,44.54790084,682.4753959,23,51.13645431,804.1339463,36,28.62891522,801.5021036,35,30.60774291,526.77735
6/16/1999,146,31.17648373,705.8995917,25,47.94385641,633.4515778,30,47.86980291,765.0029634,48,33.10604776,702.465859,34,40.07749522,541.3693691
6/17/1999,152,37.16278451,691.6988288,19,50.33702052,578.465475,28,48.93364481,792.8688786,32,37.84982846,766.3814282,29,44.39060568,553.6028414
6/18/1999,120,33.8564022,832.5725627,35,48.97498054,844.7951355,29,49.82255571,815.0032856,36,40.78939834,742.2004473,39,35.80866765,777.3808251
6/19/1999,154,40.33310136,804.7875954,26,54.36689238,642.0995826,24,55.09556301,849.7853265,46,41.98252058,701.654459,38,40.69349423,796.3206702
6/20/1999,136,42.58003899,564.5119475,23,60.12261404,331.2101643,24,52.78204342,740.8539928,47,38.43857629,605.3456072,37,39.11148178,311.49637
6/21/1999,147,25.876743,525.4516603,26,45.2036693,440.3048635,20,44.47620602,730.0085531,41,32.51922031,601.3422877,38,32.84995327,277.8453873
6/22/1999,112,24.85279157,552.6158631,20,39.08455269,532.3988678,22,43.35892899,706.0659492,40,30.39345428,515.2577438,37,31.12012382,435.9494763
6/23/1999,135,26.87807191,771.778777,21,44.02559487,714.9549528,24,50.36142475,793.2639556,47,34.61151376,777.122849,33,30.63138365,624.4068914
6/24/1999,131,28.6069082,722.1546725,26,44.9835469,640.0652728,22,52.0945856,851.9593467,37,40.00553159,669.3902455,40,31.33626207,761.3217216
6/25/1999,157,26.30367651,638.0793244,22,45.01790827,646.8901553,18,51.99915208,663.3227429,42,34.67854336,613.2283406,44,29.18051728,409.838696
6/26/1999,127,30.62150143,543.7823646,35,43.10556454,441.9218975,17,54.03768039,456.3068016,39,29.98485378,496.0554274,37,34.44764964,247.9347262
6/27/1999,142,37.38155835,469.3888764,21,50.03377082,347.5169937,28,59.11130538,408.4807599,54,35.28211378,477.4687891,39,40.70743526,224.3373468
6/28/1999,146,31.99599933,711.8017783,22,52.080502,714.4913833,25,59.89016747,580.2201702,47,32.75190374,527.9416748,31,34.19918523,448.3635529
6/29/1999,151,34.13301575,699.1063908,28,60.0633655,770.9376807,25,64.30543981,610.655016,57,36.82156078,610.0484312,39,40.34082078,510.936513
6/30/1999,106,30.36545822,685.7601162,17,60.93635211,589.8219372,22,58.70672943,549.7853423,45,35.11770714,610.2472126,41,39.65841683,377.021543
7/1/1999,150,28.57120036,562.097764,24,45.82153075,516.613182,14,57.37188989,667.1775844,51,30.348462,622.0271019,30,36.84642117,303.5135025
7/2/1999,100,21.51306652,447.4766271,28,35.04577117,378.9230887,32,36.46661808,638.9165408,46,23.91836957,677.4808347,33,25.82445414,315.2228533
7/3/1999,139,26.5861612,402.3637953,25,36.22909868,274.6632479,14,41.70858402,562.8292602,55,30.5889225,558.7232252,38,29.86355959,299.2014119
7/4/1999,122,36.97986078,483.1776908,22,51.6624747,375.6578875,35,46.06520135,599.7855891,49,39.44088852,578.3355633,33,43.77021533,343.5849736
7/5/1999,147,34.16968556,708.3210125,25,49.72975492,576.0271549,27,46.49716604,649.7855006,46,37.04327484,700.9280524,39,37.56640354,753.4764448
7/6/1999,139,25.50045721,724.0112575,26,39.43400242,715.8544331,18,40.76215624,734.5687838,42,31.48224888,634.475771,41,30.68191874,521.5645925
7/7/1999,146,28.00319168,718.5426722,25,30.45227708,514.0378756,18,38.43752583,658.4820692,36,28.03182109,770.423847,33,32.8997918,361.2906199
7/8/1999,139,11.60015829,1007.732688,30,17.08057763,525.9371844,18,17.51576072,699.7871788,50,20.68494868,995.6886914,33,12.84487189,759.2060457
7/9/1999,139,22.30992007,796.0256537,25,34.71767043,801.6257255,23,40.05816558,747.6127827,51,25.38664612,844.1633732,38,24.92725176,652.2018766
7/10/1999,139,32.33809167,733.4260255,21,50.14000976,613.8294181,37,52.20550492,665.0033643,58,29.14592931,742.5514667,44,29.13662391,529.3311202
7/11/1999,168,38.34846271,760.6272408,23,40.41741847,587.0158386,26,43.25485115,671.525212,34,37.97976645,716.3856357,39,39.90364583,549.7599468
7/12/1999,130,26.4343805,862.1736073,31,42.92612626,690.7401424,21,44.42836778,671.5252358,56,29.12363464,863.9597725,41,33.78934669,580.1351702
7/13/1999,156,29.93281757,720.5675643,22,44.9949262,636.2905693,23,48.46291882,619.3515185,47,26.42967745,776.7144317,42,31.38343749,554.5008641
7/14/1999,135,22.83075081,638.9725899,22,47.82564601,459.564975,21,52.99720979,662.8301745,40,23.95869178,593.3572378,36,23.94091217,410.474658
7/15/1999,125,22.35035534,536.395769,28,39.41384261,351.7567558,23,41.9563503,643.2644116,53,28.74151292,568.8719211,37,25.39211348,308.378172
7/16/1999,140,20.73107675,685.3988481,38,38.19064032,538.1653324,19,43.52765367,712.8292997,52,25.57515244,607.587179,37,25.73887119,470.4984817
7/17/1999,118,27.52747699,729.2420474,32,43.30723899,734.7644986,24,48.86595399,780.2200806,45,28.36220552,553.6596752,45,28.94314209,616.2757301
7/18/1999,136,30.38521172,466.2311767,26,46.01094251,566.3904664,22,49.32300952,732.394054,43,32.97572031,490.8119376,34,33.59238259,319.3086186
7/19/1999,142,23.35830082,573.5567293,27,33.21333239,602.1438911,17,35.70330229,712.8287005,55,28.64878612,544.1766233,35,30.60445639,350.7605424
7/20/1999,149,21.73581043,699.7688429,30,28.66406303,727.8007575,26,31.80530627,734.567786,51,26.4547724,582.2151403,23,25.3033166,530.6771595
7/21/1999,131,21.40241617,790.4282256,30,34.06914287,806.7978057,28,39.34574712,754.1330014,39,23.54365218,609.7155205,38,24.78659799,567.6277253
7/22/1999,115,21.69001828,855.7375339,29,38.60408139,825.8195612,17,47.54152267,736.7418919,46,27.59112315,705.369862,38,26.74841612,614.5365996
7/23/1999,152,23.19389257,931.1436529,27,41.60809959,801.1064319,32,44.71064983,743.263911,51,30.8280139,823.1371415,36,28.86138017,615.2036633
7/24/1999,131,29.98554894,859.8535224,23,43.63681747,770.9178667,21,48.87545234,751.9593911,35,29.22421525,613.4637817,41,29.56725735,452.976147
7/25/1999,130,31.17217996,756.4692144,24,42.04075649,716.9324557,20,51.00633934,641.0895433,39,31.56004393,523.6555127,31,34.52236987,271.201281
7/26/1999,148,27.60438035,691.3327169,29,47.60634579,678.2546713,17,44.26507334,723.6989546,41,34.89549044,650.8973711,43,39.75461566,360.8498813
7/27/1999,130,24.19744815,660.8261557,18,41.56376179,931.184987,14,38.28561121,730.2203223,51,40.23798494,604.8594529,42,35.51867158,396.2042589
7/28/1999,138,24.73736307,624.1904667,24,34.11754406,736.2117886,19,38.71005079,695.4376275,47,34.14406279,592.3808808,31,31.82681095,499.8135502
7/29/1999,157,22.01803531,880.9430211,27,42.45961552,801.0480006,19,48.0789793,697.6117752,38,28.05199742,654.9153097,40,26.407292,619.5878804
7/30/1999,141,23.14875381,870.9008903,35,46.74269309,731.9070076,25,51.91239408,743.2637286,50,23.52434454,730.6917095,30,27.57167679,441.1528512
7/31/1999,143,29.60401101,735.8311093,25,48.07908708,669.3370255,22,50.9519071,695.4377077,50,25.95331071,640.2141589,37,31.62424126,417.0054729
8/1/1999,121,33.14815544,694.6556265,14,51.64113623,281.3481432,26,55.81775215,649.7854917,52,30.58391802,686.6080922,27,35.7210773,381.3426194
8/2/1999,137,26.48238026,974.1458417,22,44.32927701,749.5276151,17,50.29574699,784.5685551,34,33.68162575,989.9818437,36,33.86828904,792.8897225
8/3/1999,148,28.84310465,1062.566256,11,43.09127595,720.1326335,24,53.26328471,828.0464878,66,28.5049093,1041.970824,37,30.52051449,806.1714379
8/4/1999,152,25.11915029,856.8658765,25,41.86227988,429.8849389,25,47.16803006,795.4380514,53,24.48455191,732.6939054,37,30.1097721,334.9517052
8/5/1999,138,25.77206312,443.0269785,19,41.25379164,238.950883,18,45.78015951,704.1333976,46,25.16828425,674.6777449,44,32.03534953,196.9774261
8/6/1999,141,24.42255608,359.3767647,31,37.88697387,30.51232823,25,38.0475127,545.4378121,45,29.99203023,623.0204136,30,28.88908325,187.055264
8/7/1999,136,23.19341401,512.3501854,27,38.89318127,68.00885396,29,42.36890684,601.9593029,49,28.95739693,531.5933343,33,29.45039704,224.2832039
8/8/1999,128,19.3809041,432.6850408,19,37.18004892,36.56318831,25,40.40404498,593.2635667,50,23.73614356,541.6857235,30,24.16966405,212.9643642
8/9/1999,126,17.22150798,612.8451891,25,30.92571468,323.5766523,18,33.71541583,643.2637529,31,22.18882668,661.8943868,42,23.6399229,294.9003611
8/10/1999,155,21.61351405,397.7911648,17,31.58952178,94.98870308,18,31.24495411,582.3946359,46,29.10224064,534.492132,38,29.53690613,270.7922995
8/11/1999,134,19.54744677,558.3286118,28,35.87374666,215.7401425,23,38.30723418,688.9161117,42,27.87370381,599.747035,32,26.7439562,317.88695
8/12/1999,141,23.30923551,874.1184337,22,43.56076784,685.609173,29,47.87488746,738.9165265,37,26.92440345,696.7998695,36,26.96899534,632.5019712
8/13/1999,135,25.94288233,1012.919483,23,48.31002567,756.2428246,20,57.21480406,751.9603366,41,29.91812055,693.9295688,45,27.72192907,636.1658926
8/14/1999,127,32.79260003,686.2274933,28,47.25990996,510.5192768,18,58.05534228,625.8731293,50,32.5735756,640.1251935,39,40.64363102,379.6119993
8/15/1999,113,35.59944543,643.767034,36,44.76628983,237.2901722,24,51.86908368,541.0901597,45,38.74840174,662.6305868,36,45.1523628,430.0147431
8/16/1999,137,20.92372078,976.3076656,23,37.45203399,627.2479035,26,40.17810311,667.1772083,41,32.36679345,839.0648493,24,26.95887852,846.5025052
8/17/1999,130,17.80403849,938.7587065,23,36.02406422,565.4304343,25,37.93939345,706.30771,37,23.2323495,862.9879647,40,23.5657258,608.5718815
8/18/1999,130,20.32384141,842.321911,23,37.9918043,595.7039106,21,40.52092439,723.6989735,36,26.34944015,684.6929325,35,25.97525073,505.7882048
8/19/1999,145,21.94772804,904.8647139,25,36.87192178,652.1466201,32,41.04515651,804.1337147,48,26.05339616,642.3970923,31,25.65224523,615.8188059
8/20/1999,141,27.29179807,915.8425941,19,37.65598579,637.5646411,17,45.89944116,823.699323,56,31.66552207,654.6863642,36,38.58208986,491.5178058
8/21/1999,124,36.1632709,964.0493321,22,48.33114766,625.719914,33,53.78319855,834.5685197,32,40.90699546,669.6346295,36,53.43950637,519.8244744
8/22/1999,123,36.48804951,725.3495876,14,39.46203099,360.126682,28,52.15113547,706.3075874,39,34.26583563,612.6875729,25,38.2678422,325.2413764
8/23/1999,135,27.90438051,923.1522544,28,35.33731155,563.5137541,24,40.01883003,751.9599148,40,29.78674662,925.2262135,38,27.88660207,766.9157232
8/24/1999,148,22.65927275,1013.125581,22,34.18358768,781.4113121,19,39.95579736,799.7867099,53,32.59529036,948.2163206,36,28.77120648,844.2762211
8/25/1999,141,18.41474506,1045.756085,21,40.11270035,806.3044664,24,43.72212775,828.0471605,43,28.64069093,1116.082611,37,24.69066234,901.4298844
8/26/1999,143,18.71788392,1023.757277,28,45.38338014,702.6802854,27,48.87129922,819.351149,43,23.59124748,988.1381797,42,23.08473677,762.2411226
8/27/1999,128,22.37638489,817.5596565,20,43.09333036,649.4278707,24,51.76468309,845.4377852,42,25.81395691,851.0798854,39,25.3279838,584.941231
8/28/1999,104,29.29936826,930.4281391,25,39.37243729,626.7001746,17,53.36672556,806.3071683,52,36.34606392,737.0741614,31,38.98948054,625.9590782
8/29/1999,125,36.63694034,775.3328658,23,42.95461864,603.2034142,23,54.37458941,738.9161857,44,36.64432591,837.6238592,50,50.8527122,406.8597453
8/30/1999,134,33.22889373,738.9438867,28,38.64672678,515.9098863,19,41.84607182,721.5245654,46,31.60741485,705.5404081,36,39.52939533,350.9690391
8/31/1999,114,28.72359957,624.3226014,22,28.40505403,466.5218578,27,34.27191876,651.9590515,44,27.85064485,538.6718309,37,31.85391658,370.8235168
9/1/1999,137,21.99157306,398.8177036,27,30.94345557,538.844308,19,37.87076606,593.2650157,53,27.60272124,510.940355,43,30.43033475,331.9764295
9/2/1999,114,24.755251,353.3518173,25,34.93642693,495.7591382,19,37.80561102,530.2212648,61,26.71814714,569.1510339,38,32.12777321,324.4099388
9/3/1999,121,21.23743883,501.8157646,35,38.80201245,556.831205,21,41.26771388,571.5257936,42,22.91811056,801.8280549,39,27.75708412,302.7188665
9/4/1999,114,26.86963445,473.5874073,23,37.80039243,654.3208276,17,42.4514674,656.3090387,42,34.53335622,524.9538121,44,31.7758725,361.349825
9/5/1999,119,35.07580867,481.2321693,34,46.39360204,653.6414921,21,40.38755949,701.9608069,50,42.05916554,548.9184443,31,39.65532239,289.6536183
9/6/1999,118,40.9878736,499.0324473,32,60.02556118,649.2634609,22,51.90090468,662.8301226,38,56.99605257,565.7428873,42,48.59688205,376.4893784
9/7/1999,136,31.92444662,758.5021578,24,47.62614481,717.8494848,17,45.67305761,815.0042389,35,47.1304276,798.6208612,31,35.70881197,557.9109965
9/8/1999,128,18.65216037,984.7890559,20,42.54763067,825.8475409,15,45.35943663,817.1778146,46,29.72024409,913.8823764,31,22.60764255,675.7517807
9/9/1999,115,13.92163629,954.3058481,24,21.63101684,933.838823,18,31.46015277,769.3516363,53,20.26082746,820.1497352,53,17.2964612,558.6488253
9/10/1999,140,14.84522779,830.5262336,30,27.98405132,783.416705,29,33.31370885,771.5255491,54,19.50222486,823.3322396,39,19.79486158,540.5341839
9/11/1999,132,16.50088189,686.7133636,24,29.82065864,601.0648013,24,32.28860579,728.0466355,41,24.82802554,742.7760002,39,22.48948588,384.7792062
9/12/1999,140,21.38169774,761.5231801,26,29.85905505,569.2695478,34,32.44243033,708.4817014,44,29.39022964,770.3518109,32,25.68602196,454.4150732
9/13/1999,126,20.27372438,934.3258042,29,29.92483096,952.2762751,17,34.83991068,791.090831,54,31.23390319,917.3138163,33,27.56100556,656.6792621
9/14/1999,132,22.45465016,1116.763718,29,35.55860028,788.5860825,23,38.38075331,854.1338911,40,23.26880806,832.2856125,30,31.55823259,403.8882818
