,GS UN Equity,MMM UN Equity,BA UN Equity,UNH UN Equity,IBM UN Equity,HD UN Equity,MCD UN Equity,AAPL UW Equity,JNJ UN Equity,TRV UN Equity,UTX UN Equity,DIS UN Equity,CAT UN Equity,CVX UN Equity,V UN Equity,JPM UN Equity,PG UN Equity,AXP UN Equity,DD UN Equity,XOM UN Equity,WMT UN Equity,MRK UN Equity,NKE UN Equity,VZ UN Equity,KO UN Equity,PFE UN Equity,INTC UW Equity,CSCO UW Equity,MSFT UW Equity,GE UN Equity
6/11/2007,227.16,85.3,97.55,53.19,103.22,37.71,51.25,17.17,62.27,54.58,70.18,33.7256,78.75,81.36,,50.43,63.05,63.06,48.1915,83.06,49.81,51.05,13.35,40.474,25.815,26.37,21.93,26.32,30.02,37.46
6/12/2007,227.85,85.04,96.48,52.99,102.34,37.36,51.48,17.1971,61.83,53.68,69.67,33.1138,78.08,80.56,,49.35,62.16,62.12,47.6025,82,48.91,50.22,13.2975,40.074,25.57,26.11,22.2,26.06,29.85,37.05
6/13/2007,233.64,87.19,98.47,53.11,103.12,37.73,52.19,16.7871,62.18,54.57,70.73,33.4,79.93,81.15,,50.29,62.37,63.15,48.372,83.35,49.5,50.67,13.37,39.9065,25.68,26.35,22.68,26.53,30.39,37.64
6/14/2007,225.75,87.42,98.97,52.95,103.85,37.79,52.25,16.9643,62.45,54.15,71.28,33.79,80.73,82.33,,50.32,62.42,63.14,47.973,84.77,49.28,50.23,13.42,40.2042,25.655,26.39,23.21,26.84,30.52,37.8
6/15/2007,226.19,87.67,98.15,52.9,105.09,37.95,52.17,17.2129,62.77,53.92,72.01,34.4,81.11,83.17,,50.56,62.57,63.77,48.8945,85.94,49.34,50.73,13.355,39.9902,25.79,26.47,24.24,27.39,30.49,38.12
6/18/2007,226.97,87.62,97.4,52.87,105.33,37.96,52.4,17.87,62.33,53.41,72.19,34.54,81.85,83.39,,50.43,61.77,63.14,49.1605,86.36,49.11,50.63,13.4075,39.5809,25.88,26.26,24.17,27.21,30.51,38.07
6/19/2007,229.57,87.82,96.92,52.74,106.5,38.27,52.48,17.6657,62.42,53.3,71.72,34.76,82.49,83.29,,50.85,61.82,63.15,49.5975,85.84,48.81,50.32,13.625,40.0647,25.695,26.21,24.1,27.3,30.46,39.29
6/20/2007,225.89,87.08,96.08,51.5,106,40.03,51.33,17.3643,62.04,52.6,71.83,34.19,81.38,80.97,,49.46,61.94,62.05,49.55,82.82,48.59,49.26,13.4075,39.5716,25.745,25.71,23.94,27.2,30.01,39.07
6/21/2007,226.9,87.41,97.2,51.77,106.6,39.95,51.07,17.7,62.11,53.05,71.95,34.19,81.47,82.85,,49.84,61.88,62.66,49.6355,84.3,48.39,49.3,13.395,39.4786,26.045,25.92,24.28,27.4,30.22,38.8
6/22/2007,222.4,86.43,95.92,51.3,104.44,39.36,50.42,17.5714,60.73,52.38,71.38,34.14,80.9,81.55,,48.72,61.03,61.79,49.683,82.52,47.83,48.55,13.2375,38.7251,25.81,25.38,23.7,26.85,29.49,38.24
6/25/2007,216.74,86.25,95.57,51.5,105.1,39.18,51.3,17.4771,61.11,52.53,71.27,34.06,80.7,82.95,,48.36,61.08,61.8,48.8755,82.37,47.82,48.34,13.4525,38.6042,25.885,25.4,23.48,27.03,29.49,38.21
6/26/2007,214.17,86.08,94.98,51.79,105.33,39.15,51.75,17.1014,61.65,52.92,70.57,34.06,80.29,82.7,,48.6,61.19,61.33,48.0965,81.82,47.97,49.12,13.455,38.2042,25.975,25.59,23.38,27.15,29.53,38.02
6/27/2007,219.33,87.13,94.65,51.75,105.43,39.76,51.34,17.4129,61.45,52.93,71.5,34.27,79.51,83.89,,49.24,61.43,61.53,48.619,83.48,48.46,50.33,14.5725,38.0647,26.22,25.61,23.79,27.27,29.87,38.06
6/28/2007,218.96,86.85,95.16,52.1,105.95,39.52,50.85,17.2229,61.5,53.41,71.09,33.85,79.09,84.18,,48.96,61.36,61.22,48.3815,83.6,48.21,50.48,14.5725,38.2042,26.315,25.63,23.92,27.85,29.83,38.12
6/29/2007,216.75,86.79,96.16,51.14,105.25,39.35,50.76,17.4343,61.62,53.5,70.93,34.14,78.3,84.24,,48.45,61.19,61.18,48.296,83.88,48.11,49.8,14.5725,38.2972,26.155,25.57,23.76,27.85,29.47,38.28
7/2/2007,219.18,88,96.77,52.22,105.01,39.37,51.38,17.3229,61.85,54.48,72.46,34.52,80.45,85.15,,49.15,61.74,61.79,49.208,84.82,48.33,49.57,14.6,38.6786,26.28,25.73,24.25,27.89,29.74,38.26
7/3/2007,224.55,87.94,97.65,52.14,106.58,39.2,51.4,18.1671,61.95,55.01,72.47,34.54,77.99,86.33,,49.34,61.79,62.42,49.5215,85.36,48.47,49.83,14.745,39.181,26.45,25.81,24.59,28.1,30.02,38.7
7/5/2007,221.32,87.76,98.36,52.45,108.05,39.83,51.21,18.9643,62.28,54.42,72.12,34.63,77.49,86.57,,48.79,61.67,61.38,49.455,85.16,48.09,49.82,14.8375,39.0507,26.335,25.9,24.6,28.37,29.99,38.54
7/6/2007,223.64,88.11,98.88,52.99,109.03,40.3,51.43,18.9,62.13,54.52,72.6,34.49,78.81,87.68,,48.97,61.48,61.51,49.3695,86.46,48.38,49.46,14.9175,38.6507,26.3,25.92,24.68,28.47,29.97,38.48
7/9/2007,223.3,88.11,99.9,51.95,108.97,40.23,51.14,18.63,62.72,54.9,72.61,34.46,79.83,89.5,,48.79,61.52,62.44,49.4455,87.44,48.5,49.42,14.77,39.0879,26.35,25.88,24.93,28.45,29.87,38.62
7/10/2007,217.08,87.22,100.25,51.55,108.63,40.25,50.34,18.9071,62.2,53.15,72.07,33.89,81.22,89,,47.51,61.03,60.3,48.6475,86.5,47.58,48.66,14.6125,37.6926,26.05,25.58,24.97,28.31,29.33,37.9
7/11/2007,216.72,87.88,100.12,51.41,109.1,40.48,50.72,18.9129,62.86,53.23,73,33.98,82.17,90.75,,48.13,61.56,60.28,48.619,87.29,47.68,48.9,14.6125,37.9531,26.045,25.45,24.57,28.76,29.49,38.2
7/12/2007,220.29,89.93,100.78,53.09,109.28,40.94,51.65,19.1571,63.36,54.01,73.99,34.25,84.09,93.3,,49.53,62.93,63.33,48.923,89.62,48.83,50.77,14.865,38.5391,26.315,25.98,25.99,29.81,30.11,39
7/13/2007,222.18,90.22,101.88,52.98,108.6,40.87,51.91,19.6757,63.43,53.58,75,34.37,85.13,93.33,,50.05,62.66,62.83,48.9705,90.33,49.15,50.85,14.7525,38.8461,26.555,25.91,25.97,29.89,29.82,39.5
7/16/2007,220.4,90.87,102.07,52.95,109.66,40.58,52.1,19.7286,63.8,53.41,76.67,34.47,85.9,92.12,,49.83,63.15,61.88,49.398,89.7,48.94,50.83,14.695,39.7763,26.925,26.08,25.95,29.89,30.03,40.12
7/17/2007,219.4,91.08,102.05,53,110.77,40.15,52.16,19.8443,62.74,53,76.84,34.68,86.47,91.1,,49.92,62.68,64.74,50.6329,89.09,48.35,50.27,14.8625,39.3112,26.585,25.96,26.27,29.74,30.75,40.71
7/18/2007,214.99,91.48,101.82,53.58,111.08,40.04,52.2,19.7314,62.2,52.89,75.56,34.6,86.23,93.08,,48.74,62.59,65.05,50.6804,91.15,48.04,49.94,14.92,39.0414,26.715,25.13,25.06,29.44,30.92,40.45
7/19/2007,211.69,91.17,102.48,51.89,115.86,39.7,52.67,20,62.39,53.41,77.18,34.47,86.98,93,,48.62,62.79,65.55,50.4809,92.29,48.79,49.34,14.9575,39.3112,26.85,24.99,25.26,29.94,31.51,40.71
7/20/2007,205.94,90.21,103.86,51.32,114.81,39.39,52.09,20.5357,61.79,51.73,76.03,34.34,83.2,92.12,,47.56,62.15,64.51,49.9869,91.94,48.06,49.02,14.63,39.3298,26.605,24.9,24.55,29.59,31.16,40.12
7/23/2007,205.04,90.87,104.04,51.17,116.38,38.96,52.5,20.5286,62,52.18,76.22,35.03,82,92.57,,47.15,63.34,64.66,50.5949,93.44,48.11,52.33,14.85,39.8042,26.82,25.03,24.72,30.26,31.19,40.82
7/24/2007,198.15,89.69,103.8,51,116.17,37.95,51.55,19.2729,61.47,50.28,74.74,34.75,81.66,89.85,,45.34,62.96,61.17,47.403,90.84,48.02,51.72,14.5875,40.1019,26.61,24.89,24.53,29.73,30.78,40.22
7/25/2007,203.16,89.62,107.23,51.21,118.1,38.04,50.96,19.6086,61.53,51.34,75.19,34.93,80.5,91.05,,45.27,62.98,61.73,46.7286,92.79,47.87,53.38,14.4575,40.2042,27.025,24.78,24.5,29.91,30.71,40.42
7/26/2007,195.12,90.05,103.7,50.21,116.53,37.3,49.5,20.8571,60.96,51.25,74.45,34.08,78.29,87.46,,44.08,62.56,60.26,45.3606,88.23,46.82,51.97,14.225,39.4414,26.49,24.15,24,29.67,29.98,39.53
7/27/2007,192.65,90.05,103.71,49.13,115.62,36.75,48.76,20.5429,59.77,50.65,73.29,33.74,76.02,85.2,,44.23,62.82,58.55,44.4772,85.59,45.94,50.12,13.86,39.0693,26.14,23.79,23.53,28.96,29.4,38.79
7/30/2007,195.74,90.18,105.54,48.94,114.52,37.81,48.39,20.2043,60.07,51.83,73.63,34.01,77.04,86.43,,44.75,63.27,60.14,44.6957,86.01,46.21,50.12,14.21,38.6135,26.195,23.76,23.85,29.49,29.4,39.27
7/31/2007,188.34,88.92,103.43,48.43,110.65,37.17,47.87,18.8229,60.5,50.78,72.97,33,78.8,85.26,,44.01,61.86,58.54,44.3917,85.13,45.95,49.65,14.1125,39.6461,26.055,23.51,23.62,28.91,28.99,38.76
8/1/2007,189,89.07,104.53,47.99,112.04,37.77,48.27,19.2857,60.96,51.67,74.65,33.83,80.13,85.17,,44.38,63.16,59.63,44.9616,85.84,46.22,51.02,14.225,40.2228,26.635,23.63,23.8,29.77,29.3,38.95
8/2/2007,187.46,89.12,105.93,48.36,113.23,37.82,48.99,19.4986,61.03,51.7,74.76,34.36,80.67,83.89,,44.59,63.3,60.91,44.7812,85.18,46.73,51.64,14.2375,40.1205,26.83,23.85,24.3,30.13,29.52,39.03
8/3/2007,179.68,87.56,104.24,47.5,111.89,36.19,48.52,18.8186,60.55,48.92,73.93,33.9,78.96,81.02,,43.65,62.88,57.49,44.0307,82.08,45.52,50.29,14.125,39.767,26.64,23.51,23.89,29.44,28.9,38.06
8/6/2007,187.79,87.77,104.34,48.5,113.89,36.89,49.46,19.3214,62.3,50.53,74.85,34.3,81,82.02,,45.11,65,60.23,45.2561,83.54,47.02,51.35,14.3675,40.3902,27.115,24.11,24.13,29.5,29.54,39.1
8/7/2007,191.25,88.03,103.22,47.99,113.53,36.4,49.73,19.3171,62.08,51.11,74.15,34.55,80.44,83.18,,45.34,65.23,60.43,45.0281,85.7,47.06,51.63,14.515,40.1019,27.23,24.35,24.14,29.7,29.55,39.48
8/8/2007,193.3,88.15,102.72,47.57,112.98,37.8,50.29,19.1443,62.49,51.33,74.05,34.29,80.9,84.33,,46.51,65.16,62.96,46.9566,87.9,48.42,52.36,14.1525,40.1763,27.93,24.61,24.65,31.68,30,40.46
8/9/2007,182.25,86.86,98.3,46.33,110.73,35.79,49.93,18.0557,60.83,48.38,72.37,33,78.48,81.11,,44.17,64.97,60.65,46.6051,83.6,46.45,51.44,13.475,38.9949,27.925,24.14,23.92,31.4,28.92,38.94
8/10/2007,180.5,85.97,98.44,47.48,112.64,35.92,49.41,17.8571,61.15,50.63,73.08,33.16,77.55,83.42,,44.25,65.39,60.78,46.1586,84.51,46.07,50.88,13.945,38.4461,27.49,23.99,23.98,31.4,28.71,38.23
8/13/2007,177.5,86.25,100.05,49.04,112.71,35.24,48.71,18.2557,61.45,50.7,74.01,33.24,77.9,82.45,,43.83,64.28,59.45,45.5506,82.92,46.17,50.56,14.0375,38.7437,27.26,23.89,24.02,30.83,28.63,38.17
8/14/2007,169.75,85.76,97.63,48.48,112.05,33.52,48,17.7186,61.13,50.11,72.78,32.36,76.77,82.45,,43.3,63.72,57.3,44.8002,83.13,43.82,49.93,13.665,38.1019,27.07,23.58,23.8,30.26,28.27,37.68
8/15/2007,164.9,85.06,95.51,49.12,111.23,33.36,47.56,17.1286,61.3,50.13,71.63,31.71,74.95,80.76,,43,63.48,56.74,44.5722,81.69,43.28,49.78,13.3925,37.674,26.915,23.53,23.22,29.92,28.1,36.9
8/16/2007,169.85,85.4,92.74,48.86,109.69,32.82,48.07,16.7214,61.63,52.7,71.08,32.58,73,81.39,,45.47,64.03,58.17,45.5981,80.67,43.5,49.46,13.2975,37.4228,26.79,23.39,23.1,29.3,27.81,37.2
8/17/2007,175,87.83,95.93,49.8,110.9,33.31,47.57,17.4371,62.02,52.93,73.82,32.68,72.64,84.36,,47.01,65.35,58.89,44.9427,84.14,43.49,49.62,13.6175,37.9531,27.225,23.94,23.7,29.99,28.25,38.45
8/20/2007,172.76,88.27,97.21,49.55,109.22,33.79,48.29,17.46,61.83,52.3,74.7,32.91,74.05,84.89,,46.49,65.01,58.68,45.3511,84.53,43.59,49.98,13.595,38.2414,27.26,24.17,24.11,29.76,28.26,38.22
8/21/2007,175.48,88.46,96.95,49.56,109.04,34.3,48.47,18.2243,61.67,51.79,72.94,33.29,74.28,84.3,,46.2,64.46,59.14,45.3606,83.15,43.7,49.77,13.53,38.7996,27.015,24.24,23.89,30.1,28.07,38.35
8/22/2007,177.89,89.07,97.99,48.65,110,34.77,49.36,18.93,62.01,52.61,73.87,33.57,75.3,85.39,,46,64.74,60.13,46.4721,83.58,43.75,50.36,13.5475,38.9019,26.975,24.65,24.15,30.26,28.22,39.14
8/23/2007,177.5,88.75,96.74,48.62,111.45,34.02,49.85,18.7243,62.11,51.63,73.3,33.16,75.17,85.48,,45.67,65.04,60.03,46.4911,83.75,43.17,50.5,13.5075,39.2089,26.99,24.62,24.23,30.27,28.3,39.12
8/24/2007,179.73,89.15,98.47,49.61,113.24,34.68,50.12,19.3286,61.88,52.51,74.33,33.87,76.32,87.22,,45.95,65.93,60.89,46.6241,85.69,43.74,50.82,13.53,39.6647,27,24.74,24.79,30.73,28.81,39.41
8/27/2007,177.95,88.7,98.54,49.19,113.44,35.25,49.47,18.8929,61.6,51.16,73.72,33.84,76,87,,44.91,65.23,59.96,46.3866,85.12,43.82,50.12,13.47,39.6182,27.005,24.76,24.45,31.1,28.49,39
8/28/2007,170.95,87.62,95.65,48.63,112,35.05,48.64,18.1171,61.25,49.98,72,33.2,74.16,84.3,,43.6,64.7,57.35,45.7121,83,43.4,49.21,13.3825,38.6228,26.63,24.47,23.96,30.41,27.93,38.05
8/29/2007,173.72,88.76,96.9,48.69,114.57,36.55,49.19,19.1543,61.86,52.04,74.35,33.89,75.04,86.7,,44.13,65.12,58.14,46.2631,85.23,44.19,49.92,13.865,39.2833,26.755,24.67,25.09,31,28.59,38.71
8/30/2007,171.38,89.36,96.85,49.05,115.37,37.04,48.83,19.4643,61.6,50.29,73.84,33.47,74.66,87.19,,43.97,65.01,57.72,46.0161,85.4,43.32,49.66,13.94,39.0042,26.7,24.55,25.28,31.43,28.45,38.4
8/31/2007,176.01,90.99,96.7,50.01,116.69,38.31,49.25,19.7829,61.79,50.54,74.63,33.6,75.77,87.76,,44.52,65.31,58.62,46.3106,85.73,43.63,50.17,14.085,38.9577,26.89,24.84,25.75,31.92,28.73,38.87
9/4/2007,180.8,91.15,95.92,50.19,118.19,36.36,49.66,20.5943,61.98,50.97,74.43,34.13,76.85,88.73,,45.3,65.45,60.77,46.5481,87.23,43.3,50.04,14.105,39.6926,27.185,25.08,26.17,32.32,28.81,39.04
9/5/2007,177.81,89.92,95.84,49.29,117.88,36.51,49.24,19.5371,61.65,50.59,73.45,34.04,75.54,88.36,,44.17,65.46,59.32,45.9781,87.22,42.45,49.4,13.8675,39.0228,26.845,24.71,25.99,32.22,28.48,38.75
9/6/2007,179.18,90.63,96.2,49.6,117.62,35.22,49.76,19.2871,61.66,50.66,75.01,34.41,75.75,88.93,,44.21,66.11,59.4,45.9971,87.49,42.76,50.47,13.95,39.3112,27.33,24.62,26.15,31.84,28.91,39.4
9/7/2007,178.98,88.92,94.84,49.19,115.55,34.21,49.24,18.8243,61.68,49.85,73.79,33.59,73.44,87.65,,43.52,65.47,57.75,45.1231,85.75,42.39,49.57,13.675,38.4554,27.295,24.25,25.47,31.52,28.44,38.75
9/10/2007,183.61,87.82,95.33,49.12,115.8,33.81,50.15,19.53,61.84,49.72,74.49,33.56,73.74,87.05,,43.93,65.9,58.71,44.9237,84.86,42.27,49.81,13.7875,38.3717,27.285,23.96,25.35,31.74,28.48,39.19
9/11/2007,183.5,88.24,97.44,49.57,117.35,34.87,51.76,19.3557,62.05,50.29,74.67,33.49,73.89,88.59,,44.54,66.99,59.37,45.1896,86.94,42.94,49.95,13.8825,38.9484,27.83,24.19,25.66,32.16,28.93,39.5
9/12/2007,182.53,89.08,98.32,49.47,116,35.09,51.2,19.55,62.51,50.21,74.84,33.72,72.77,89.19,,44.47,67.31,59.48,45.2751,87.65,42.71,49.67,14.02,38.9484,27.92,24.19,25.46,31.77,28.93,39.9
9/13/2007,188.47,89.09,98.95,49.55,115.95,35.61,54.3,19.6,63.11,50.31,75.02,33.52,72.99,90.09,,45.6,67.46,60.6,45.4936,88.62,43.06,49.86,14.22,39.6368,27.935,24.23,25.35,31.51,29.16,40.51
9/14/2007,190.59,89.02,99.35,49.91,115.13,35.68,55.45,19.83,63.2,49.69,76.14,33.56,73.16,90.65,,45.54,67.81,58.94,45.6361,88.67,43.32,49.54,14.3075,39.553,28.2,24.29,24.93,31.56,29.04,40.35
9/17/2007,187.61,88.93,98.64,49.95,114.52,35.38,54.64,19.7729,62.94,49.5,75.83,33.38,73.69,90.93,,45.29,67.95,58.2,45.3891,89.26,43.32,49.41,14.0775,39.6182,27.64,24.13,24.85,31.5,28.73,40.18
9/18/2007,200.57,91.66,98.54,50.1,116.63,36.36,55.02,20.1314,63.83,51.82,78.16,34.58,77.46,93.34,,47.82,68.68,60.8,46.8331,91.76,44.44,50.57,14.6975,40.2879,28.21,24.54,25.41,32.04,28.93,41.68
9/19/2007,205.5,91.96,100.02,49.84,116.67,36.18,55.41,20.1129,64.49,52.14,78.9,34.56,77.91,94.11,,47.57,68.79,60.95,47.384,92.12,44.75,51.56,14.64,40.7251,28.31,24.88,25.68,32.09,28.67,41.77
9/20/2007,203.53,91.44,101.25,49.81,116.86,35.32,54.87,20.0443,64.79,51.13,78.73,34.04,77.37,94.17,,46.96,68.98,60.12,47.403,92.09,44.32,51.38,14.58,40.7437,28.155,24.52,25.81,32.21,28.44,41.24
9/21/2007,209.98,91.68,102.59,49.91,116.78,34.47,54.8,20.6,65.12,51.01,79.43,34.6,78.16,94.84,,47.13,69.39,59.28,47.2036,92.31,44.23,51.82,14.315,41.2833,28.275,24.59,25.87,32.3,28.64,41.25
9/24/2007,210.43,91.81,103.05,49.56,116.25,33.88,54.96,21.1829,65.2,49.58,78.69,34.32,77.72,94.35,,46.34,69.8,58.39,47.1276,91.73,43.97,51.68,14.4525,41.0414,28.35,24.42,25.98,31.88,29.08,40.85
9/25/2007,210.9,91.91,104.93,49.48,116.51,33.08,54.15,21.8886,64.97,49.99,79.93,34.07,76.37,91.88,,46.1,69.85,58.83,46.9376,91.96,43.16,52.28,14.6125,40.9949,28.51,24.24,25.89,32.43,29.5,41.1
9/26/2007,214.61,92.54,104.45,49.31,117.3,32.99,54.8,21.8243,65.39,50.03,80.2,34.52,76.66,92.51,,46.13,70.51,59.01,47.3651,92.37,43.3,52.6,14.5975,41.3763,28.675,24.58,25.91,33,29.5,41.27
9/27/2007,216.78,93.39,105.46,49.26,117.71,32.76,54.56,22.0714,65.54,50.1,80.69,34.21,77.47,93.51,,46.21,70.1,59.57,47.498,92.97,43.61,52.3,14.5425,41.5623,28.665,24.75,25.76,33.22,29.49,41.39
9/28/2007,216.74,93.58,104.99,48.43,117.8,32.44,54.47,21.9343,65.7,50.34,80.48,34.39,78.43,93.58,,45.82,70.34,59.37,47.0801,92.56,43.65,51.69,14.665,41.1902,28.735,24.43,25.86,33.11,29.46,41.4
10/1/2007,222.98,94.74,106.65,48.14,119.03,33.16,56.01,22.3514,66.14,51.83,82.07,34.65,79.56,94.44,,46.81,70.91,60.63,47.707,93.95,44.47,52.43,14.8475,42.2321,28.95,24.85,26.42,33.05,29.75,42.02
10/2/2007,228.02,93.89,105.93,47.89,118.36,33.36,55.95,22.6357,66.05,52.24,80.62,34.77,79.64,92.56,,47.16,70.73,60.62,47.498,92.24,44.87,51.62,14.79,42.1763,28.96,24.94,26.38,33.01,29.7,42.12
10/3/2007,227.35,94.19,104.72,47.05,116.4,33.87,56.11,22.5671,66.1,52.32,79.67,34.72,78.56,91.48,,47,70.41,59.86,46.9091,91.33,45.13,52.15,14.805,42.0832,28.785,25.08,25.81,32.49,29.47,41.55
10/4/2007,225.95,94.25,104.5,47.38,115.69,33.74,56.04,22.3357,66.11,53.55,80.09,34.9,78.64,91.84,,47.25,70.83,59.76,47.1466,90.92,45,52.86,14.84,42.2507,28.935,25.3,25.62,32.15,29.7,41.7
10/5/2007,228.5,95.85,102.25,47.7,116.3,34.22,56.37,23.0829,66.25,53.81,80.84,35.47,80.33,92.32,,47.58,70.83,61.1,47.0706,91.36,45.37,53.51,15.0875,42.0646,29.035,25.58,25.58,32.67,29.87,41.77
10/8/2007,226.96,95.41,101.07,47.81,117.77,33.93,56.87,23.9871,66.02,53.48,80.36,35.27,81.34,91.58,,47.44,70.71,60.69,46.5481,90.68,45.27,53.15,15.0025,41.8228,28.9,25.45,25.66,32.71,29.84,41.53
10/9/2007,239.2,95.62,101.45,48.49,118.3,33.8,57.38,23.9886,66.25,53.3,81.2,35.45,82.51,92.8,,47.57,71.08,62.52,47.0041,92.67,45.21,53.63,15.4425,42.4367,28.94,25.54,25.84,33.08,30.08,42.02
10/10/2007,235.94,95.82,98.68,49.33,118.62,33.65,57.03,23.8271,65.83,53.85,80.5,35.28,81.16,92.08,,46.91,71.4,61.89,46.5576,93.13,45.59,53.23,15.465,42.446,28.935,25.54,25.88,33.27,30.23,41.81
10/11/2007,229.01,94.36,96.26,49.34,118.05,33.43,56.25,23.1757,65.95,54.02,79.25,35.01,79.44,91,,46.66,71.77,62.45,46.3581,92.66,46.9,53.04,15.2525,42.4925,28.595,25.45,25.43,32.8,29.91,41.6
10/12/2007,233.56,94.17,96.69,49.69,117.81,33.44,57.02,23.8971,65.94,54.17,80.32,35.47,80.3,91.41,,46.82,71.7,63.23,46.6051,93.48,47.06,53.51,15.7875,42.353,28.9,25.26,25.55,32.95,30.17,41.03
10/15/2007,229.34,94.39,94.83,48.93,118.03,33.01,56.19,23.8543,65.65,53.29,79.87,35.14,78.84,92.33,,46.27,71,61.8,46.8996,94.82,46.45,53.29,15.98,41.5158,28.82,25,25.75,32.79,30.07,40.82
10/16/2007,224.83,93.98,95.94,48.5,119.6,32.51,56.81,24.2257,65.07,52.3,79.65,35.01,77.75,93.45,,45.11,70.82,60.23,46.1586,94.74,45.86,53.03,15.9775,41.7949,28.88,24.63,25.48,32.29,30.31,40.77
10/17/2007,227.62,94.26,95.59,48.6,115.78,31.78,56.96,24.6786,64.85,52.34,76.8,35.38,77.13,93.26,,46.37,70.59,60.08,45.8926,94.8,45.99,53.42,15.79,42.1018,29.545,24.55,26.72,32.51,31.06,41
10/18/2007,227.85,94.73,96.94,48.1,114.8,31.68,56.79,24.7857,64.9,51.87,77.43,34.78,77.66,92.42,,45.9,70.9,58.66,45.7406,95.05,45.89,53.39,15.815,41.8321,29.68,24.54,26.92,32.68,31.12,40.79
10/19/2007,217.69,86.62,93.9,47.45,112.28,30.76,56.42,24.3314,64.23,51.21,76,33.81,73.57,89.27,,45.02,70.8,57.11,44.5247,92.14,44.98,53.11,15.8325,41.1437,29.38,24.07,26.3,31.49,30.17,40.04
10/22/2007,222.18,86.28,94.93,48.13,113.37,30.88,56.02,24.9086,64.34,52.01,75.8,34.68,73.5,88.44,,45.37,71.06,56.87,44.2397,90.91,45.25,54.64,15.7925,41.2367,29.625,24.02,26.64,31.37,30.51,40.17
10/23/2007,223.76,85.93,94.95,48.84,114.68,30.92,56.97,26.5943,64.55,51.69,76.02,34.89,74.42,88.92,,45.94,71.26,58.66,44.4677,91.35,43.93,56.36,16.03,41.6832,29.875,24.05,26.8,31.54,30.9,40.48
10/24/2007,225.12,86.1,94.26,48.47,112.95,30.88,57.15,26.5614,64.44,51.4,76.49,35.06,75.79,89.9,,46.27,71.38,58.94,45.1611,92.13,43.87,56.2,15.865,41.3205,30.09,23.98,26.01,31.26,31.25,40.23
10/25/2007,226.66,86.09,96,48.53,112.81,30.7,58.07,26.1114,63.95,51.74,75.72,34.45,74.67,91.23,,46.05,71.35,59.76,45.9211,91.57,43.88,57.06,15.96,41.7763,30.65,24.29,25.89,31.18,31.99,40.16
10/26/2007,235.92,86.13,96.02,47.99,113.73,31.35,58.47,26.3857,64.3,53.21,75.44,34.38,75.04,91.65,,47.32,71.75,60.67,45.9496,92.21,44.64,57.58,16.1525,42.4181,30.785,24.31,25.94,31.9,35.03,40.38
10/29/2007,243.81,85.97,96.99,47.95,114.8,31.4,59.18,26.4414,64.98,52.88,75.78,34.68,73.9,92.88,,46.67,71.83,60.51,46.5576,93.61,45.01,57.77,16.305,42.7809,30.92,24.51,26.26,32.41,34.57,40.56
10/30/2007,240.33,85.79,97.33,47.9,114.12,31.46,59.18,26.7143,64.82,52.42,75.82,34.29,73.46,90.08,,46.56,68.95,60.3,45.8166,91.14,45.37,57.86,16.2325,42.1949,30.865,24.45,26.27,32.61,35.57,40.48
10/31/2007,247.92,86.36,98.59,49.15,116.12,31.51,59.7,27.1357,65.17,52.21,76.59,34.63,74.61,91.51,,47,69.52,60.95,47.0326,91.99,45.21,58.26,16.565,42.8553,30.88,24.61,26.9,33.06,36.81,41.16
11/1/2007,240.21,83.92,96.6,48.5,113.65,30.71,59,26.7771,64.66,51.92,74.72,33.75,73.31,89.04,,44.35,68.75,58.43,45.5411,88.5,44.02,57.36,15.955,41.5623,30.445,23.96,26.5,32.18,37.06,40.34
11/2/2007,229.6,84.89,97.76,48.94,114.59,30.4,59.02,26.8386,64.78,52.42,75.65,33.92,74.76,88.48,,43.15,69.55,58.42,45.5601,87.93,44.19,56.04,15.9675,41.2833,30.255,23.67,26.8,32.51,37.06,40.33
11/5/2007,218.39,85.05,97.97,49.12,113.4,29.8,59.67,26.5971,64.49,52.38,76.11,33.88,73.5,88.48,,42.77,70.18,58.17,45.3036,87.66,44.03,55.93,15.845,40.7623,30.17,23.67,26.84,33.08,36.73,40.2
11/6/2007,223.16,85.45,97.7,49.59,113.17,30.06,59.74,27.3986,64.61,52.49,76.62,34.08,74.92,90.64,,44.11,70.47,58.57,45.9591,90.38,44.29,55.99,15.9975,40.6879,30.505,23.93,27.49,34.08,36.41,40.18
11/7/2007,214.18,83.27,96.89,49.85,111.08,29.34,58.45,26.6443,63.91,50.35,74.46,33.5,73.6,87.54,,42.24,69.42,55.37,44.7907,87.2,43.93,54.2,15.695,40.0926,29.98,23.32,26.89,32.72,35.5,39.08
11/8/2007,209.94,82.83,96.28,50.29,106.11,29.09,59.37,25.0943,64.59,51.07,74.7,33.63,72.43,89.18,,42.61,70.84,56.1,45.1611,89.42,43.62,54.77,15.825,39.7484,30.735,23.11,25.99,29.63,34.74,39.02
11/9/2007,211.33,79.51,94.21,51.67,100.65,28.05,58.31,23.6243,65.16,51.4,73.51,32.74,70.41,87.42,,42.31,70.42,56.49,44.4487,86.85,42.9,55.9,15.5525,39.7856,30.415,22.83,25.15,28.58,33.73,38.38
