date,CT,ME,MA,NH,RI,NJ,NY,DE,DC,MD,PA,VA,WV,AL,FL,GA,KY,MS,NC,SC,TN,IL,IN,MI,MN,OH,WI,AR,LA,NM,OK,TX,IA,KS,MO,NE,CO,UT,AZ,CA,NV,ID,OR,WA
1994,10.16,0.72,10.2,1.58,13.88,27.3,50.79,19.23,164.11,30.62,22.51,29.11,9.83,45.37,35.45,44.5,13.87,169.1,55.97,52.49,56.93,32.55,14.57,12.86,4.36,24.57,15.52,53.25,124.72,10.58,15.15,48.63,8.24,7.25,37.28,2.81,7.95,2.6,9.87,26.48,11.41,0.87,3.2,5.23
1995,8.12,0.4,8.24,2.76,8.85,18.19,47.95,17.68,124.37,33.12,15.97,23.84,3.56,38.17,23.85,50.02,12.89,166.46,41.74,44.58,48.88,30.91,14.87,12.43,4.01,17.3,11.28,50.09,84.32,8.08,17.8,41.81,5.93,5.77,23.52,2.11,7.94,2.48,9.41,18.21,12.2,1.02,2.1,3.85
1996,10.01,0.32,10.24,2.47,7.05,17.78,35.12,16.73,109.37,43.7,11.78,18.74,3.24,43.61,19.61,39.37,10.15,86.06,35.6,33.88,42.87,17.27,11.43,8.72,2.46,11.78,9.5,32.77,54.76,4.51,13.98,30.49,2.99,5.2,11.38,1.61,4.21,2.37,10.2,13.8,8.52,1.99,2.16,2.41
1997,9.7,1.04,11.72,2.19,8.19,14.19,30.27,15.04,113.43,47.6,9.67,16.37,1.1,34.02,18.08,36.89,10.2,51.89,28.76,29.51,43.06,16.05,8.77,8.1,2.6,6.75,6.02,21.99,40.9,5.86,12.16,27.26,2.49,6.41,9.18,2.02,3.81,2.69,12.67,11.78,6.8,1.95,1.45,2.41
1998,5.26,0.32,9.06,1.24,5.33,10.08,27.45,14.93,102.44,41.43,7.43,10.42,0.61,25.86,16.4,23.35,8.51,41.39,27.31,22.35,31.49,15.86,8.48,7.03,1.56,4.19,4.85,19.27,37.18,4.35,10.84,19.68,1.65,4.36,6.86,2.06,2.96,2.68,14.27,8.7,7.5,1.2,0.95,2.48
1999,3.72,0.08,6.09,1.39,5.29,9.61,21.68,9.29,80.32,26.36,7.6,10.31,0.83,23.02,17.07,24.53,7.52,32.03,21.55,23.4,30.8,15.92,13.27,7.88,1.46,3.21,3.6,13.73,31.9,4.54,15.68,17.99,1.27,3.55,7.12,1.41,2.15,2.22,16.58,8.54,4.81,1.02,1.09,3.51
2000,4.43,0.55,7.04,1.53,3.62,9.51,15.52,5.72,90.27,22.06,5.58,7.59,0.72,16.91,17.26,19.92,6.25,24.05,18.5,21.4,29.97,13.17,12.33,10.05,1.56,2.48,3.42,13.66,21.77,5.54,9.47,15.74,1.88,2.49,5.33,0.41,1.46,2.63,16.43,9.86,2.58,0.85,1.43,2.89
2001,4.8,1.25,6.97,1.67,3.68,12.22,18.92,9.92,79.99,17.42,5.9,7.29,0.39,16.2,17.8,23.65,4.69,22.87,17.33,22.55,25.71,12.36,8.63,11.69,2.65,2.62,2.42,8.87,17.74,4.26,8.3,17.14,1.5,3.26,3.09,0.93,3.36,1.1,21.65,8.83,2.96,0.83,1.38,2.9
2002,5.43,0.7,8.42,1.88,6.26,12.36,20.28,7.68,75.5,15.44,5.59,7.24,0.28,15.6,19.63,22.15,5.18,15.7,12.64,15.1,18.66,12.64,5.2,11.78,2.95,3.07,2.48,8.08,17.31,6.31,8.21,18.87,1.84,2.84,3.6,1.45,3.86,3.07,19.9,11.15,5.2,1.71,2.13,2.6
2003,5.94,1.61,10.01,2.87,8.36,12.61,22.72,5.75,58.47,17.7,5.71,7.47,0.61,12.6,19.29,24.78,3.89,15.1,10.11,13.31,15.08,10.88,5.92,8.53,3.85,4.21,2.03,10.86,35.16,10.94,10.05,18.07,1.56,2.83,3.63,1.55,3.16,3.06,19.82,11.86,6.65,3.29,3.31,3.9
2004,4.82,0.53,8.06,2,9.62,9.5,23.26,7.35,64.5,18.03,4.63,8.18,0.99,14.11,17.04,18,3.64,13.92,8.75,12.48,13.62,10.6,4.38,7.97,2.84,4.98,2.32,9.05,36.45,13.19,4.77,18.7,1.22,3.18,4.67,0.86,3.89,3.26,16.96,12.79,10.88,5.6,3,5.42
2005,4.73,0.45,6.22,2.52,5.95,9.33,20.01,4.15,66.3,17.95,5.73,8.66,0.99,12.09,16.23,21.21,3.09,12.7,8.21,12.9,15.38,12.6,4.59,4.82,4.05,4.38,2.49,8.31,27.39,9.49,4.48,18.76,0.94,3.21,6.41,1.02,3.09,2.02,13.33,14.78,14.2,3.78,2.99,5.71
2006,5.62,1.66,5.87,2.66,6.65,9.16,23.75,8.67,54,18.48,7.14,9.17,1.65,20.24,16.28,20.64,4.47,17.87,10.86,9.19,16.81,11.48,3.96,3.8,3.66,4.28,3.06,8.75,32.42,12.13,7.01,21.08,2.28,3.15,7.36,1.92,3.83,2.67,15.02,16.58,15.59,0.82,2.68,6.61
2007,4.23,1.59,6.19,3.95,7.18,10.66,25.91,7.29,70.71,20.84,6.79,9.54,1.49,21.74,21.47,23.62,3.61,24.26,12.06,9.32,19.69,9.49,3.4,4.7,3.58,4.79,3.03,13.09,42.11,9.14,5.97,23.03,2.18,3.49,8.23,1.69,3.23,1.7,19.64,17.3,15.44,0.93,1.57,5.67
2008,4.94,2.05,7.37,3.12,5.23,11.62,28.3,6.87,62.52,19.31,7.25,10.16,2.42,25.46,25.02,29.25,5.11,25.35,10.83,9.2,20.66,12.13,5.5,5.46,5.1,6.64,3.32,17.79,45.89,9.52,7.06,26.05,2.5,4.46,9.17,2.02,7.13,1.46,21.45,18.8,12.5,1.71,2.56,6.69
2009,5.09,1.14,7.17,2.79,6.08,10.22,23.66,9.83,71.87,17.42,8.16,9.58,1.76,24.17,20.82,27.64,5.54,25.24,16.25,11.12,20.92,14.83,5.04,6.38,4.12,6.89,2.94,19.1,43.72,10.35,8.03,28.15,2.16,5.36,8.58,2.5,5.35,1.98,16.43,16.32,11.58,2.01,3.45,4.83
2010,6.55,3.09,9.76,3.27,7.51,10.77,25.08,4.9,82.26,17.58,7.93,10,1.4,16.34,21.65,24.23,7.17,27.74,12.93,12.54,18.8,17.43,6.35,6.91,6.6,9.33,3.27,18.31,54.79,7.33,7.25,25.5,2.23,3.86,8.55,1.81,6.8,4.81,14.16,16.41,15.26,1.28,4.52,7.96
2011,5.28,1.81,11.69,2.5,7.99,11.01,24.59,13.67,89.32,21.93,8.83,8.97,0.49,15.78,21.74,19.31,7.67,25.11,13,13.66,16.01,18.85,7.18,7.74,6.87,8.26,3.55,15.79,44.66,10.18,7.12,24,2.29,2.65,6.89,1.95,7.17,2.27,13.99,17.99,15.79,2.65,6.51,10.42
2012,3.37,1.66,12.13,4.92,8.85,9.96,27.14,11.56,93.15,21.12,10.57,11.07,1.29,14.62,23.21,24.54,8.9,15.28,10.63,13.21,16.54,18.83,8.12,7.95,6.23,9.88,4.68,15.87,38.68,11.22,6.71,27.08,4.65,4.47,7.07,1.89,9.7,3.54,12.01,21.07,16.13,3.38,10.87,10.28
2013,3.7,1.58,14.93,5.98,8.95,10.92,31.54,15.92,96.31,23.13,11.63,12.23,2.1,14.08,26,30.14,9.02,9.82,11.82,15.94,15.18,20.67,8.31,10.81,10.06,9.49,4.49,17.87,43.57,11.89,10.04,27.03,7.35,6.79,10.11,5.12,9.16,6.02,14.68,26.21,18.96,2.63,13.52,10.31
