   caldt       CAP1RET       CAP2RET       CAP3RET       CAP4RET       CAP5RET
19680830      0.069859      0.068666      0.047327      0.051126      0.048224
19680930      0.101312      0.083695      0.072163      0.063196      0.066134
19681031      0.002023     -0.013020      0.001961     -0.000242     -0.001756
19681129      0.059684      0.077767      0.077759      0.074168      0.083427
19681231      0.049315      0.040808      0.021957      0.005193      0.001042
19690131      0.022571      0.003355      0.008845     -0.002900     -0.019387
19690228     -0.111449     -0.104738     -0.106042     -0.091304     -0.090290
19690328      0.013526      0.009778      0.027195      0.021450      0.030518
19690430     -0.017050     -0.009572     -0.001965      0.008081      0.004447
19690529      0.026839      0.028558      0.017036      0.008189     -0.006646
19690630     -0.129161     -0.137742     -0.139192     -0.123159     -0.121427
19690731     -0.115547     -0.118150     -0.119648     -0.103829     -0.100371
19690829      0.036459      0.047049      0.046062      0.056510      0.063182
19690930     -0.048109     -0.035924     -0.029516     -0.026444     -0.018342
19691031      0.111463      0.106304      0.096159      0.097682      0.094982
19691128     -0.071534     -0.068510     -0.068871     -0.053309     -0.051636
19691231     -0.111636     -0.076070     -0.080407     -0.059934     -0.056991
19700130      0.054383     -0.004338     -0.025279     -0.021947     -0.044970
19700227      0.020264      0.020155      0.037395      0.022984      0.037146
19700331     -0.031790     -0.028090     -0.041394     -0.030261     -0.038784
19700430     -0.184774     -0.193004     -0.184348     -0.171710     -0.177125
19700529     -0.088189     -0.085640     -0.092024     -0.097193     -0.101802
19700630     -0.059476     -0.086817     -0.086319     -0.076332     -0.091965
19700731      0.016092      0.017032      0.048533      0.041242      0.062412
19700831      0.050133      0.051330      0.053608      0.051454      0.055541
19700930      0.153767      0.141176      0.138539      0.126570      0.120185
19701030     -0.069930     -0.064762     -0.062265     -0.061636     -0.062568
19701130     -0.069943     -0.034424     -0.018375      0.001605      0.010071
19701231      0.074097      0.110204      0.088516      0.081010      0.090301
19710129      0.274968      0.200490      0.180171      0.144392      0.131014
19710226      0.093511      0.084130      0.056639      0.058758      0.043351
19710331      0.056836      0.070891      0.052815      0.058396      0.051443
19710430      0.020969     -0.000620      0.023183      0.020748      0.030545
19710528     -0.064048     -0.071769     -0.056245     -0.057208     -0.059170
19710630     -0.041963     -0.030357     -0.031339     -0.022036     -0.027535
19710730     -0.076464     -0.066261     -0.073668     -0.070489     -0.052036
19710831      0.036657      0.021909      0.033507      0.049694      0.051208
19710930     -0.010199      0.002549      0.014959      0.001498      0.000970
19711029     -0.071293     -0.070176     -0.068357     -0.056976     -0.063514
19711130     -0.055561     -0.054274     -0.049279     -0.047498     -0.031194
19711231      0.125149      0.117853      0.123754      0.128361      0.115447
19720131      0.319833      0.236103      0.197545      0.153850      0.130304
19720229      0.106061      0.063311      0.042785      0.064648      0.035655
19720330     -0.040230     -0.016757     -0.016190     -0.010619     -0.007013
19720428     -0.003245      0.005962     -0.015149     -0.004978      0.001273
19720531     -0.047081     -0.023017     -0.041205     -0.040420     -0.024208
19720630     -0.013944     -0.032132     -0.047075     -0.033773     -0.049586
19720731     -0.036273     -0.026754     -0.021159     -0.030965     -0.037195
19720831     -0.004904     -0.019537     -0.008427     -0.014987      0.003534
19720929     -0.040529     -0.032613     -0.039857     -0.042571     -0.046249
19721031     -0.028967     -0.032892     -0.043593     -0.018217     -0.034166
19721130     -0.012698      0.010179      0.024750      0.041245      0.036488
19721229     -0.050018     -0.014857     -0.040054     -0.013008     -0.020734
19730131      0.015606     -0.000473     -0.011425     -0.020297     -0.034215
19730228     -0.067989     -0.082465     -0.079843     -0.080400     -0.083315
19730330     -0.048162     -0.036456     -0.041453     -0.031435     -0.024291
19730430     -0.057468     -0.062143     -0.061300     -0.069630     -0.079466
19730531     -0.104312     -0.102798     -0.101526     -0.096492     -0.091351
19730629     -0.052073     -0.046433     -0.051691     -0.045628     -0.040900
19730731      0.054847      0.084843      0.092179      0.094453      0.103212
19730831     -0.039929     -0.043957     -0.045784     -0.055948     -0.048203
19730928      0.009888      0.027167      0.060879      0.064272      0.065221
19731031      0.030919      0.010355      0.004805      0.010205      0.017018
19731130     -0.156718     -0.171755     -0.177212     -0.161544     -0.175677
19731231     -0.078064     -0.076791     -0.072650     -0.045720     -0.032220
19740131      0.250206      0.211830      0.183808      0.160327      0.129366
19740228      0.013584      0.000338      0.009552      0.008015     -0.006584
19740329      0.042006      0.028131      0.012809      0.013318      0.015320
19740430     -0.038041     -0.051646     -0.054066     -0.057905     -0.060701
19740531     -0.072394     -0.073720     -0.082831     -0.073837     -0.066717
19740628     -0.034096     -0.027229     -0.035803     -0.024890     -0.028059
19740731     -0.057737     -0.056472     -0.052756     -0.060092     -0.055172
19740830     -0.065789     -0.069029     -0.088229     -0.077095     -0.074259
19740930     -0.079070     -0.072062     -0.078510     -0.077720     -0.078507
19741031      0.025960      0.047915      0.053506      0.064172      0.085897
19741129     -0.062539     -0.054980     -0.043789     -0.068953     -0.057698
19741231     -0.112504     -0.119045     -0.106559     -0.077622     -0.074156
19750131      0.461315      0.344387      0.333501      0.355285      0.321189
19750228      0.070896      0.064532      0.031023      0.013026      0.025123
19750331      0.100673      0.120309      0.096926      0.107154      0.090342
19750430      0.004199      0.010197      0.019752      0.018551      0.021912
19750530      0.074240      0.075957      0.071603      0.099929      0.067934
19750630      0.068464      0.068474      0.066522      0.092471      0.075539
19750731      0.019188      0.013366      0.010012     -0.005418     -0.015972
19750829     -0.055979     -0.068006     -0.063841     -0.072851     -0.058174
19750930     -0.046226     -0.053090     -0.042418     -0.041103     -0.038183
19751031     -0.018310     -0.010629      0.004971      0.005222      0.019620
19751128      0.003269      0.011016      0.014861      0.008926      0.033047
19751231     -0.014468      0.004315     -0.015377     -0.005673     -0.015434
19760130      0.216194      0.230002      0.223007      0.221363      0.192000
19760227      0.207387      0.167625      0.150896      0.133879      0.117682
19760331      0.026052      0.021007      0.007742      0.004098      0.011287
19760430     -0.001893      0.002243     -0.014001     -0.017282     -0.012161
19760528     -0.033538     -0.034789     -0.042271     -0.032358     -0.020882
19760630      0.004719      0.001713      0.017248      0.021405      0.018326
19760730      0.000476      0.002376      0.011396     -0.007463     -0.002929
19760831     -0.029727     -0.025817     -0.025113     -0.017029     -0.018498
19760930     -0.005848      0.016156      0.007763      0.022179      0.019573
19761029     -0.032215     -0.028011     -0.019629     -0.023527     -0.015244
19761130      0.006373      0.019911      0.011782      0.033745      0.030363
19761231      0.109294      0.114067      0.107874      0.100835      0.098679
19770131      0.104762      0.084411      0.077409      0.066031      0.039063
19770228      0.023359      0.037064      0.012811     -0.001916     -0.001574
19770331      0.016368      0.014329      0.011610      0.013752      0.010432
19770429      0.017471      0.019773      0.011913      0.021910      0.017879
19770531      0.014773      0.004854      0.008021      0.005401      0.007088
19770630      0.031138      0.030717      0.050366      0.049005      0.064443
19770729      0.022903      0.029385      0.021116      0.024419      0.010053
19770831      0.015128      0.006059      0.002231      0.003566     -0.003778
19770930      0.035269      0.022270      0.013869      0.009277      0.020984
19771031     -0.024505     -0.029524     -0.020651     -0.016815     -0.027650
19771130      0.069502      0.053665      0.067183      0.084053      0.089202
19771230      0.044431      0.034340      0.028950      0.024573      0.020334
19780131      0.036308      0.017723      0.008881     -0.006036     -0.007743
19780228      0.033850      0.045839      0.044057      0.024986      0.035957
19780331      0.087145      0.077903      0.075488      0.073359      0.069432
19780428      0.088009      0.085448      0.079392      0.081322      0.088935
19780531      0.087756      0.094795      0.095938      0.075296      0.074753
19780630      0.045803      0.024326      0.012373      0.003665      0.001924
19780731      0.046337      0.042776      0.040723      0.050626      0.052000
19780831      0.155790      0.140580      0.135416      0.105794      0.099135
19780929      0.049471      0.001336      0.020552      0.002718     -0.016533
19781031     -0.213602     -0.217970     -0.224798     -0.214682     -0.224129
19781130     -0.001879      0.015155      0.037626      0.050156      0.068550
19781229     -0.005884      0.012074      0.012899      0.023572      0.019900
19790131      0.119748      0.117991      0.106907      0.103248      0.107447
19790228     -0.009242     -0.023621     -0.000257     -0.007724     -0.020604
19790330      0.066802      0.085893      0.081414      0.092589      0.075270
19790430      0.045891      0.044875      0.054126      0.029963      0.022113
19790531     -0.001416     -0.007842     -0.007565     -0.009509     -0.000115
19790629      0.059523      0.048912      0.047624      0.051470      0.072219
19790731      0.011031      0.018554      0.011533      0.009181      0.017282
19790831      0.070981      0.079783      0.076206      0.090321      0.067506
19790928     -0.005424     -0.001105      0.002624     -0.001636     -0.002273
19791031     -0.090452     -0.096537     -0.111913     -0.107260     -0.114773
19791130      0.027371      0.076381      0.075161      0.085771      0.076533
19791231      0.100316      0.094751      0.097585      0.096472      0.080369
19800131      0.185858      0.170657      0.128706      0.137002      0.105533
19800229      0.029777      0.006998      0.004311     -0.016102     -0.009524
19800331     -0.168575     -0.194598     -0.193774     -0.196342     -0.196170
19800430      0.007620      0.015076      0.036166      0.045676      0.061535
19800530      0.049831      0.058152      0.052420      0.056481      0.067238
19800630      0.028197      0.045678      0.044361      0.041353      0.041619
19800731      0.074118      0.098500      0.093269      0.087799      0.094911
19800829      0.077577      0.099154      0.090187      0.076920      0.078892
19800930      0.112399      0.073007      0.060673      0.051354      0.040664
19801031      0.104815      0.096962      0.079755      0.070850      0.059478
19801128      0.074663      0.093978      0.111483      0.088555      0.088126
19801231     -0.022221     -0.049183     -0.045380     -0.060307     -0.040556
19810130      0.064398      0.020954      0.024927      0.027879     -0.001633
19810227      0.005488     -0.009209     -0.006241     -0.008663     -0.010503
19810331      0.061811      0.076584      0.071293      0.079694      0.061755
19810430      0.047539      0.033368      0.049481      0.037411      0.029724
19810529      0.054393      0.019641      0.037612      0.044834      0.024301
19810630     -0.001656      0.010388     -0.005118     -0.017211     -0.012740
19810731     -0.020173     -0.030403     -0.036616     -0.029665     -0.018659
19810831     -0.060819     -0.080489     -0.089333     -0.093466     -0.072662
19810930     -0.095136     -0.109912     -0.092439     -0.092337     -0.094272
19811030      0.038565      0.065618      0.065106      0.079101      0.081334
19811130      0.007862      0.019237      0.016296      0.017527      0.011780
19811231     -0.019722     -0.021137     -0.010613     -0.016443     -0.011965
19820129      0.010297     -0.004523     -0.005657     -0.011199     -0.008273
19820226     -0.031236     -0.062156     -0.056952     -0.051916     -0.054496
19820331     -0.006071     -0.004912     -0.010217     -0.024801     -0.028843
19820430      0.054504      0.046851      0.042772      0.044265      0.050812
19820528     -0.015887     -0.030704     -0.010062     -0.017587     -0.021716
19820630     -0.021863     -0.042809     -0.042533     -0.036411     -0.039728
19820730      0.011879     -0.015740     -0.010644     -0.014920     -0.016795
19820831      0.013866      0.008404      0.032377      0.024989      0.048473
19820930      0.069310      0.033478      0.036479      0.021004      0.044020
19821029      0.132639      0.115823      0.121162      0.141080      0.137733
19821130      0.158307      0.147890      0.129860      0.134441      0.122318
19821231      0.065914      0.054783      0.035259      0.018373      0.020277
19830131      0.268443      0.183428      0.142123      0.123702      0.123643
19830228      0.034237      0.036821      0.037887      0.058791      0.049490
19830331      0.047998      0.065588      0.048025      0.050558      0.043891
19830429      0.081363      0.096156      0.082250      0.078651      0.087769
19830531      0.123033      0.139700      0.140722      0.102846      0.106335
19830630      0.057372      0.046602      0.044114      0.060165      0.048195
19830729      0.001644     -0.015569     -0.016408     -0.033948     -0.032906
19830831     -0.043994     -0.054776     -0.062879     -0.053476     -0.034554
19830930     -0.046977     -0.022970     -0.020555     -0.016003     -0.008762
19831031     -0.047719     -0.072035     -0.066731     -0.071318     -0.065241
19831130     -0.020169      0.021827      0.016550      0.033010      0.035571
19831230     -0.007687     -0.042864     -0.026688     -0.008297     -0.029812
19840131      0.033237      0.033090      0.031772      0.019628      0.014528
19840229     -0.043110     -0.045619     -0.061309     -0.065505     -0.051677
19840330      0.025476      0.000910     -0.002089     -0.008595      0.009025
19840430     -0.034755     -0.038048     -0.036602     -0.028732     -0.032933
19840531     -0.034246     -0.039489     -0.055546     -0.049876     -0.059821
19840629     -0.034647     -0.008696      0.005132      0.003407      0.006384
19840731     -0.073264     -0.060159     -0.058756     -0.054843     -0.046804
19840831      0.054034      0.048107      0.059553      0.056160      0.083004
19840928     -0.011828      0.014244     -0.004372      0.009858      0.002177
19841031     -0.048348     -0.037705     -0.025337     -0.026533     -0.021915
19841130     -0.058929     -0.034499     -0.030573     -0.042924     -0.034352
19841231      0.009577     -0.022511     -0.014935     -0.002822      0.000617
19850131      0.110334      0.116665      0.119480      0.132224      0.146756
19850228      0.097727      0.074241      0.056982      0.049435      0.043513
19850329     -0.010203     -0.014709     -0.010078     -0.023826     -0.003050
19850430     -0.020101     -0.017804     -0.020144     -0.013920     -0.013978
19850531     -0.017462      0.003893      0.005354      0.015405      0.012437
19850628     -0.022834     -0.021295     -0.012188      0.006543      0.000799
19850731      0.015888      0.019852      0.028088      0.028717      0.024075
19850830      0.019654      0.003724     -0.019733     -0.003368     -0.000203
19850930     -0.074006     -0.070238     -0.057080     -0.061997     -0.072260
19851031     -0.033215      0.002079     -0.005185      0.009130      0.027043
19851129      0.028216      0.042750      0.039257      0.036446      0.053026
19851231     -0.002080      0.013594      0.018818      0.032655      0.027059
19860131      0.086720      0.062222      0.066751      0.051443      0.051533
19860228      0.039884      0.046447      0.044632      0.056736      0.061966
19860331      0.046275      0.051564      0.041786      0.042039      0.037441
19860430      0.021551      0.017405      0.017981      0.015431      0.017228
19860530      0.032605      0.045502      0.038206      0.035958      0.037013
19860630      0.007753      0.007746     -0.000664      0.004954      0.009030
19860731     -0.070768     -0.079476     -0.076651     -0.081808     -0.072052
19860829      0.005942     -0.012894     -0.009044     -0.008058      0.011009
19860930     -0.065624     -0.066937     -0.068776     -0.068000     -0.061809
19861031     -0.006626      0.010478      0.020249      0.020202      0.018306
19861128     -0.027771     -0.015306     -0.014394     -0.007321     -0.011997
19861231     -0.058101     -0.054312     -0.043329     -0.044886     -0.045956
19870130      0.139010      0.104056      0.116324      0.114211      0.108899
19870227      0.082008      0.077359      0.066484      0.081062      0.086281
19870331      0.080444      0.058113      0.039433      0.031453      0.039245
19870430     -0.005897     -0.004214     -0.018787     -0.017387     -0.028183
19870529      0.020327      0.011438     -0.002240     -0.002014     -0.015176
19870630      0.026520      0.007471      0.019620      0.007379      0.008215
19870731      0.059399      0.038654      0.035084      0.023253      0.024013
19870831     -0.016028     -0.007772     -0.008350      0.003164      0.012028
19870930     -0.027760     -0.016247     -0.018726     -0.010197     -0.015048
19871030     -0.285003     -0.284105     -0.297582     -0.293362     -0.301934
19871130     -0.054834     -0.049850     -0.052990     -0.054782     -0.048757
19871231     -0.039681     -0.005741     -0.015359      0.009008      0.022545
19880129      0.129905      0.111414      0.105658      0.099598      0.068830
19880229      0.033777      0.020411      0.035520      0.058906      0.065646
19880331      0.033070      0.042231      0.031428      0.029132      0.042317
19880429      0.018787     -0.000262      0.011267      0.008635      0.008688
19880531     -0.007462     -0.022075     -0.016569     -0.028511     -0.037766
19880630      0.023138      0.044926      0.033272      0.049763      0.043862
19880729      0.007201      0.012643      0.005459      0.007200     -0.009042
19880831     -0.024290     -0.041996     -0.013411     -0.022580     -0.015665
19880930      0.018407      0.003572      0.007066      0.007987      0.008591
19881031     -0.028345     -0.025759     -0.021630     -0.016143     -0.014472
19881130     -0.038957     -0.049464     -0.040797     -0.049747     -0.038186
19881230      0.000965     -0.006682      0.010293      0.026099      0.022514
19890131      0.115789      0.067996      0.068171      0.049761      0.037327
19890228     -0.023298     -0.002799     -0.000523      0.012189      0.002700
19890331      0.009670      0.017562      0.009264      0.014478      0.014266
19890428      0.024815      0.024797      0.011220      0.014232      0.024681
19890531      0.004292      0.028637      0.015404      0.021589      0.026204
19890630     -0.004995     -0.017072     -0.001275     -0.012225     -0.014153
19890731     -0.007706      0.016564      0.017987      0.022892      0.028324
19890831     -0.007592      0.020473      0.026189      0.025516      0.013426
19890929      0.013060      0.013410      0.008048      0.006861      0.003879
19891031     -0.037918     -0.056482     -0.047705     -0.047827     -0.055333
19891130     -0.036719     -0.005568     -0.015008     -0.006125     -0.008983
19891229     -0.025918     -0.011271     -0.006530     -0.019303     -0.018475
19900131      0.028259     -0.018930     -0.050966     -0.046513     -0.049237
19900228      0.034140      0.000116      0.006758      0.009559     -0.001490
19900330      0.003736      0.023099      0.027838     -0.001053      0.015722
19900430     -0.011357     -0.034002     -0.025361     -0.017432     -0.034661
19900531      0.006726      0.008763      0.020031      0.028837      0.039302
19900629      0.020309     -0.010716      0.014927      0.001270      0.020338
19900731     -0.030079     -0.018992     -0.014204     -0.042225     -0.043611
19900831     -0.092211     -0.103225     -0.091177     -0.112903     -0.137941
19900928     -0.033356     -0.066650     -0.092733     -0.081888     -0.089839
19901031     -0.078145     -0.074820     -0.061382     -0.061525     -0.062730
19901130     -0.047541     -0.030189      0.001091      0.000394      0.031561
19901231     -0.010129     -0.033591     -0.022346     -0.018358     -0.005093
19910131      0.117351      0.093256      0.078762      0.080112      0.069132
19910228      0.183803      0.150810      0.127266      0.130196      0.138812
19910328      0.115873      0.090893      0.091891      0.103041      0.090987
19910430      0.070405      0.055706      0.036092      0.022913      0.030740
19910531      0.038458      0.019152      0.010785      0.017629      0.023430
19910628      0.000994     -0.025322     -0.045422     -0.043296     -0.039224
19910731      0.032001      0.013594      0.013796      0.033565      0.029735
19910830      0.037668      0.017403      0.009775      0.026924      0.025814
19910930      0.017997      0.026978      0.014026      0.011709      0.020971
19911031      0.012812      0.028680      0.047121      0.015349      0.042379
19911129      0.020313      0.007863     -0.015059     -0.012298     -0.023502
19911231     -0.003525     -0.010754      0.022625      0.039769      0.051704
19920131      0.337002      0.257489      0.190335      0.170581      0.128623
19920228      0.116535      0.107245      0.054940      0.053856      0.040540
19920331      0.011332     -0.004986     -0.006242     -0.015327     -0.018006
19920430     -0.061050     -0.050697     -0.047054     -0.058881     -0.046446
19920529      0.007519      0.005154      0.001468     -0.010175      0.003328
19920630     -0.023985     -0.043095     -0.052598     -0.050543     -0.046930
19920731      0.002050      0.015872      0.026099      0.019096      0.033744
19920831     -0.039610     -0.044861     -0.034621     -0.028013     -0.026817
19920930      0.001037      0.007525      0.004421      0.006275      0.018018
19921030      0.008119      0.000382      0.006341      0.012634      0.021808
19921130      0.076905      0.084475      0.057723      0.059502      0.079903
19921231      0.027903      0.044820      0.041417      0.064075      0.040872
19930129      0.169574      0.103473      0.065511      0.077443      0.078074
19930226      0.004101     -0.004819     -0.008274     -0.020328     -0.020273
19930331      0.032872      0.019334      0.036331      0.030654      0.020793
19930430      0.008059     -0.005192     -0.009507     -0.013972     -0.011384
19930528      0.051371      0.052845      0.028502      0.031842      0.023085
19930630      0.022639      0.040074      0.020728      0.018060      0.002942
19930730      0.027206      0.020999      0.006017      0.020504      0.019240
19930831      0.012714      0.030511      0.046717      0.034926      0.041347
19930930      0.057409      0.035422      0.036390      0.038931      0.022293
19931029      0.060835      0.040160      0.053212      0.045210      0.050453
19931130     -0.018971     -0.038255     -0.032594     -0.042025     -0.044211
19931231     -0.025702      0.015141     -0.016477      0.019653      0.012506
19940131      0.076793      0.048781      0.056109      0.051278      0.055067
19940228      0.014479     -0.014804     -0.013899     -0.019470     -0.021389
19940331     -0.030600     -0.029568     -0.043159     -0.051117     -0.056751
19940429     -0.038140     -0.026804     -0.020070     -0.020023     -0.021559
19940531      0.024045     -0.009259     -0.001623     -0.003581     -0.000120
19940630     -0.047975     -0.018450     -0.020483     -0.016891     -0.017024
19940729      0.006656      0.005230      0.013426      0.003859      0.012541
19940831      0.003587      0.024610      0.024819      0.015635      0.024956
19940930      0.024128      0.012226      0.014769      0.020851      0.007586
19941031     -0.005838      0.014144     -0.002480      0.004220      0.008651
19941130     -0.040616     -0.039526     -0.032855     -0.038876     -0.037675
19941230     -0.041158     -0.032679     -0.013888     -0.016337     -0.007005
19950131      0.076710      0.043262      0.033346      0.041612      0.036837
19950228      0.005507      0.016321      0.020046      0.024825      0.027375
19950331      0.008477      0.016891      0.003965      0.016773      0.021352
19950428      0.022123      0.029745      0.026622      0.021721      0.028432
19950531      0.017484      0.011519      0.021703      0.027726      0.024011
19950630      0.060927      0.063282      0.068762      0.066576      0.055440
19950731      0.064754      0.067267      0.051262      0.059181      0.063534
19950831      0.054626      0.046110      0.043100      0.047716      0.040688
19950929      0.052873      0.039774      0.027763      0.022954      0.026398
19951031     -0.059657     -0.037286     -0.038761     -0.051673     -0.041457
19951130     -0.027636      0.007241     -0.001195      0.028100      0.041554
19951229      0.008979     -0.002111      0.019501      0.020895      0.011259
19960131      0.091562      0.049118      0.033369      0.025120      0.026649
19960229      0.060047      0.034334      0.038844      0.028983      0.027377
19960329      0.041062      0.008846      0.024702      0.020127      0.021045
19960430      0.072645      0.044569      0.054817      0.063514      0.072399
19960531      0.124205      0.113717      0.085100      0.064498      0.061383
19960628     -0.035066     -0.040984     -0.052719     -0.047418     -0.052607
19960731     -0.109475     -0.109520     -0.097619     -0.086265     -0.079386
19960830      0.022842      0.035188      0.043059      0.037076      0.043085
19960930      0.009386      0.018276      0.026464      0.024332      0.032309
19961031     -0.040761     -0.027481     -0.025706     -0.031633     -0.015100
19961129      0.006890      0.001930      0.005528      0.017883      0.014957
19961231     -0.021532     -0.012800      0.005573      0.005530      0.023896
19970131      0.143188      0.094100      0.082236      0.068132      0.047157
19970228     -0.009731     -0.017325     -0.014397     -0.016927     -0.012178
19970331     -0.063197     -0.052749     -0.047000     -0.045995     -0.055410
19970430     -0.042520     -0.040794     -0.033316     -0.038421     -0.034031
19970530      0.025401      0.048213      0.055306      0.077714      0.089855
19970630      0.035124      0.023454      0.052389      0.042227      0.046695
19970731      0.027371      0.039906      0.049957      0.059287      0.053119
19970829      0.049682      0.033775      0.053739      0.040035      0.032371
19970930      0.074205      0.107962      0.093906      0.097234      0.099464
19971031      0.016854     -0.006650     -0.009580     -0.030853     -0.036599
19971128     -0.038696     -0.024958     -0.015567     -0.028873     -0.028196
19971231     -0.067492     -0.042632     -0.023726     -0.019569     -0.007498
19980130      0.078708      0.022566      0.008294      0.005687      0.010929
19980227      0.040580      0.040307      0.049556      0.049105      0.054778
19980331      0.038040      0.047118      0.035078      0.051862      0.049818
19980430      0.051106      0.049401      0.034102      0.029364      0.017723
19980529     -0.039918     -0.044151     -0.042422     -0.038745     -0.048458
19980630     -0.061143     -0.051517      0.002836     -0.042334     -0.034609
19980731     -0.063261     -0.039296     -0.052738     -0.061708     -0.052071
19980831     -0.201933     -0.204776     -0.220332     -0.199932     -0.208020
19980930      0.004761      0.007321      0.048730      0.026133      0.041036
19981030     -0.003502     -0.014782      0.026085      0.022792      0.020732
19981130      0.112677      0.093880      0.083957      0.062703      0.090030
19981231     -0.010403     -0.015292     -0.009951      0.034806      0.035837
19990129      0.179410      0.118527      0.092498      0.058141      0.041534
19990226     -0.008062     -0.044612     -0.043309     -0.046351     -0.056510
19990331     -0.023787     -0.051638     -0.019020     -0.028974     -0.019491
19990430      0.091366      0.083642      0.101874      0.061417      0.092489
