### GDP simple growth 1980.I to 2018.I (in percentages)
   US      UK     FR   AU   GE    CA
0.1548226 0.8967777 0.03475769 0.6942213 -0.2140174 0.5539055
0.5547667 0.657339 0.1485163 0.02665161 -1.211775 0.5509256
0.8602598 0.9466291 -0.2096454 0.3155271 0.02171477 -0.1483708
1.698209 1.022619 0.6408571 1.563587 0.499232 0.3769526
1.148167 0.8078977 0.8073978 1.773505 0.3671723 0.6856985
0.5337473 0.5472776 0.8912004 0.8723142 -0.02421712 0.7209858
0.7620764 0.3831418 0.6250608 0.7598586 0.3443793 1.182448
0.9453281 0.1648874 0.3910664 0.6982422 -0.1823309 1.188855
1.001674 0.2521059 0.6833405 0.7152036 0.09670916 0.717907
1.106964 0.9479482 0.2679786 0.7160288 -0.1932148 0.3410202
0.4615613 1.109089 0.198619 0.4699423 0.6668029 0.7119198
0.8913338 1.169942 0.4829968 1.036946 0.8119652 1.230669
0.6314631 1.498191 0.7019511 0.9204334 0.3815252 0.9904025
1.330287 0.2663131 0.8412771 0.2778396 0.9316447 0.8015183
0.2336997 0.2228252 0.9800553 0.2085949 1.600411 0.04825762
0.1546328 0.06414236 0.01711335 1.413784 0.9986607 0.2779
0.8518652 0.352671 0.7475485 1.198175 1.304792 0.3772208
0.2354931 0.9949649 0.7853388 1.463879 0.4099871 0.6465958
0.5728724 0.7215974 0.7937461 0.6148967 0.7415571 0.9651386
0.5432713 0.8469312 0.3032376 1.110859 0.8455114 0.4155148
0.6078419 0.8320629 0.2592143 0.5121482 0.2761944 0.1400626
-0.5746999 0.3560104 0.4374038 1.163471 0.8779464 0.05928376
0.5163871 -0.7401519 -0.4560468 0.1879616 -0.273035 0.3469645
-0.5413556 -1.646874 -0.3511038 0.7712489 -0.3617868 0.8341663
-2.163811 -2.171514 -1.373113 -0.5273936 -1.933268 -1.156561
-1.122695 -1.662551 -1.645628 1.079388 -4.48549 -2.284863
-0.1439897 -0.1895609 -0.1421654 0.6023539 0.07334 -1.103413
0.3641111 0.1422655 0.1574164 0.2565238 0.596736 0.4525115
1.098384 0.3461774 0.6773093 0.6835562 0.9158061 1.181288
0.3847797 0.4509887 0.4257233 0.4923063 0.7347039 1.191352
0.9220283 0.8588171 0.5353731 0.6588628 2.047503 0.5141904
0.7372113 0.5782244 0.6103194 0.6348348 0.8125969 0.7141105
0.5019026 0.130265 0.671957 1.006138 0.8359054 1.130483
-0.2404413 0.7495877 1.069184 -0.275421 1.766414 0.7393551
0.7149734 0.1476714 0.04692792 1.076664 0.1745562 0.1899515
-0.02777862 0.269165 0.2090827 1.334312 0.4743511 1.387897
1.159285 0.165975 0.2493902 1.101626 0.01926276 0.7901386
0.7829927 0.6477359 0.07485778 1.004298 0.315472 0.0318945
0.4302016 -0.05383535 -0.07215725 1.010251 0.09602227 0.3300938
0.1349482 1.190827 0.1434736 0.35898 0.2302341 0.1972128
0.1138732 -0.2288249 -0.05455133 0.5657623 -0.4498409 0.1219606
0.8856751 0.646651 -0.03097342 0.3278022 -0.2211364 1.030501
0.1233965 0.5483544 0.6806808 0.5532094 0.886494 0.6482835
0.7834151 0.8964706 -0.009194473 0.7152156 0.5062067 0.8193888
0.798249 0.4678854 0.4192337 0.7878438 0.408634 1.007924
-0.2517636 0.8381854 0.07699343 0.6918628 0.8801744 0.1244448
1.253873 0.8322882 0.2461145 0.6426325 -0.1688763 1.198742
1.208911 0.700831 0.4433342 0.4482008 0.3195217 0.7283049
0.4718505 0.665603 0.1125697 0.445201 0.8899279 0.4542393
0.822715 0.4436628 0.4338419 0.9061159 0.1114295 -0.2001956
0.8246138 0.5690653 -0.0379954 0.2883103 0.445179 -0.1446939
0.2401157 0.4327783 0.3769623 0.9652391 0.3231803 0.5654913
0.09990946 0.7431607 0.2525703 0.5278156 0.4233794 0.1039237
0.3846708 0.3242836 0.672374 0.868613 0.6323917 0.6163292
0.5655988 0.1564108 -0.2462444 0.887075 0.4644729 -0.2620769
0.4779064 0.4717615 0.1981026 -0.2466637 0.3354204 1.051286
0.4375744 0.7414532 0.6108083 0.8981571 0.4156113 0.5550373
0.4433039 0.3921687 0.790027 0.2893086 0.8997745 0.9873337
0.7396677 0.2126733 0.644031 1.008598 0.6331321 1.120619
0.6984826 0.3513676 0.6761546 0.5396621 0.7354876 0.4101053
0.5679372 0.3555239 0.6671798 0.5212035 0.6069719 0.424585
0.5498591 0.2347847 0.153798 1.030532 0.2972793 0.3338069
