time,expcn,expus,impcn,impus
122,23.91393835,24.74355114,23.72757186,25.24003095
123,23.91444401,24.74727734,23.82667586,25.23902541
124,23.96853857,24.78298445,23.88021832,25.28732232
125,23.95922865,24.78684187,23.87195379,25.29172017
126,24.00071739,24.79693139,23.88512749,25.30668109
127,24.04352685,24.80298733,23.9566369,25.30000568
128,24.06333905,24.80373119,24.00096267,25.32564212
129,24.10978788,24.79466584,24.03567676,25.32205571
130,24.09281473,24.78484613,24.00881326,25.29653247
131,24.12464611,24.79766276,24.07352789,25.34941443
132,24.10666436,24.76260848,24.030951,25.3624509
133,24.23205383,24.78488057,24.23498247,25.35101909
134,24.17006745,24.7981897,24.11141148,25.34547995
135,24.2165699,24.80210751,24.18916326,25.38045905
136,24.25756801,24.79353968,24.17520069,25.35969241
137,24.2913005,24.78910804,24.23411225,25.35423047
138,24.26446623,24.82726366,24.20585508,25.36185146
139,24.31292545,24.82914363,24.26253869,25.37800683
140,24.32892562,24.80368049,24.28179565,25.34814061
141,24.37160677,24.83481161,24.35129691,25.38406939
142,24.40554433,24.85366907,24.33782533,25.39646843
143,24.4243523,24.89248593,24.3590057,25.40300532
144,24.49177269,24.87487251,24.40353129,25.43294918
145,24.42427087,24.86151564,24.40497884,25.43180456
146,24.52009673,24.91068323,24.59796391,25.45926251
147,24.53991073,24.94087468,24.49778011,25.49967978
148,24.54165781,24.9290012,24.52747312,25.49853317
149,24.59095708,24.95268602,24.56579987,25.51633367
150,24.62200226,24.91863754,24.5862923,25.54640622
151,24.62188991,24.93755111,24.58251137,25.53527945
152,24.62969466,24.94470843,24.56061641,25.54535222
153,24.66380538,24.96591977,24.55564409,25.54676802
154,24.68959886,24.9741525,24.62859283,25.58160429
155,24.7619573,24.96147262,24.63084834,25.60505968
156,24.77476632,24.99312271,24.62563038,25.59318206
157,24.78122559,24.99532413,24.64524515,25.60656006
158,24.77564364,25.00249533,24.61310704,25.62795526
159,24.82839145,25.01088975,24.67508249,25.59771479
160,24.83846031,25.04726868,24.70897599,25.64418793
161,24.84260402,25.0417388,24.68944995,25.63345445
162,24.88304141,25.0400884,24.72529178,25.6477185
163,24.88903631,25.03659063,24.72384098,25.6463296
164,24.88972933,25.05682019,24.73803471,25.65909856
165,24.8934207,25.03040054,24.7606724,25.69278743
166,24.94689045,25.05710225,24.82889921,25.72503528
167,24.93414256,25.07669365,24.81879717,25.71131463
168,24.97107283,25.10290462,24.84852821,25.72898239
169,24.99794807,25.11220602,24.84107039,25.75317421
170,24.97609287,25.12429821,24.88104179,25.72449705
171,25.09478524,25.14570238,24.87171482,25.73894837
172,25.07704624,25.14436894,24.88431479,25.74238504
173,25.05146255,25.16111736,24.86222463,25.76666515
174,25.0931557,25.18262381,24.9008187,25.76848934
175,25.08744033,25.15797979,24.89886302,25.77460792
176,25.16018689,25.18589272,24.94399433,25.79742664
177,25.16958228,25.19501891,24.97425937,25.78531009
178,25.18539917,25.20359816,24.94431253,25.75638643
179,25.21754832,25.21824162,24.98973199,25.76285133
180,25.22053406,25.22289771,25.01023243,25.78783361
181,25.25436285,25.23244261,25.05913033,25.77312184
182,25.39632932,25.21112663,25.01515164,25.76731656
183,25.20499842,25.25454187,25.03960698,25.80966392
184,25.30952363,25.25126336,25.06475265,25.79628107
185,25.29532035,25.27006511,25.02093032,25.80498071
186,25.35191734,25.28075724,25.05823299,25.81785618
187,25.350202,25.28524665,25.09430195,25.82117303
188,25.35294781,25.30365141,25.10748247,25.81973626
189,25.3808913,25.30889636,25.13814545,25.82850197
190,25.36357713,25.32351393,25.14203156,25.84046892
191,25.42340765,25.33638435,25.22680928,25.86844368
192,25.42434511,25.34428969,25.25850341,25.85753958
193,25.48618269,25.37188816,25.33167768,25.89040333
194,25.48401946,25.40086831,25.2488258,25.91341876
195,25.50212417,25.38647849,25.29432804,25.88877155
196,25.50736438,25.42722197,25.2896466,25.9315272
197,25.54767333,25.43124529,25.35337719,25.93693449
198,25.51315875,25.47499222,25.31384812,25.95417657
199,25.55319296,25.49656568,25.33261106,25.99284417
200,25.57013228,25.47874218,25.34110649,25.95041475
201,25.52860516,25.39770086,25.26652169,25.89280052
202,25.52404903,25.37728333,25.26876763,25.88270612
203,25.43137863,25.30638467,25.0888456,25.73637806
204,25.35247376,25.20051174,24.97325823,25.65942181
205,25.30125172,25.1350333,24.82348664,25.58397706
206,25.22425865,25.16477527,25.05889551,25.52570366
207,25.30203159,25.14811247,24.99367365,25.52634381
208,25.26658548,25.11880082,25.04933666,25.51551292
209,25.24990929,25.14654237,25.0863999,25.50016838
210,25.26488002,25.17455031,25.16006693,25.52856475
211,25.29503842,25.19870312,25.18977144,25.59012314
212,25.31844023,25.19795141,25.1778071,25.5812937
213,25.37619293,25.24149373,25.24501865,25.63788203
214,25.39994868,25.27534111,25.23826674,25.65996032
215,25.40304763,25.27329322,25.28708834,25.68942664
216,25.50143542,25.31121865,25.38840036,25.71790724
217,25.48075981,25.31131021,25.41419438,25.71239145
218,25.6078784,25.32397609,25.41549385,25.7373618
219,25.48848332,25.36312726,25.44688554,25.76010155
220,25.52569412,25.35212325,25.45694187,25.75830752
221,25.62346894,25.38213791,25.47199859,25.78667067
222,25.62075156,25.37239549,25.4736178,25.81210831
223,25.63202799,25.3983911,25.4524034,25.79633744
224,25.60927064,25.40008669,25.48448935,25.82634661
225,25.61963717,25.40293106,25.49550509,25.82212566
226,25.64315688,25.44826142,25.5112518,25.83103994
227,25.69047778,25.45525368,25.57468804,25.82856262
228,25.66484553,25.47719218,25.60268549,25.8607687
229,25.78451408,25.48831597,25.79014551,25.90896307
230,25.65091831,25.47430969,25.59160547,25.88363062
231,25.78104441,25.53233151,25.66908165,25.92317623
232,25.79541452,25.54671175,25.68839304,25.9220943
233,25.76916246,25.54021929,25.6890524,25.94535529
234,25.78010615,25.52166455,25.6661829,25.94573295
235,25.83865862,25.55241123,25.70751265,25.94805506
236,25.81437911,25.55253911,25.73370241,25.94754369
237,25.78392592,25.57066822,25.69438342,25.94749523
238,25.79928884,25.56956094,25.76154432,25.95268854
239,25.82177624,25.55726737,25.7631712,25.95541669
240,25.79920613,25.56695674,25.71994503,25.97476934
241,25.75118791,25.55745031,25.60536548,25.97840949
242,25.82493901,25.56565603,25.83479714,25.94813578
243,25.87752389,25.59779118,25.73920377,26.00378576
244,25.83950809,25.58317901,25.69912096,25.98419281
245,25.89073047,25.58300072,25.78660439,25.97952086
246,25.90652405,25.58946093,25.76060549,25.96377929
247,25.8474521,25.57920252,25.7340931,25.95825462
248,25.84477635,25.56675189,25.72061478,25.95674064
249,25.91559047,25.60852685,25.76727825,25.96487528
250,25.87605363,25.56351605,25.73535128,25.94642853
251,25.84697335,25.57900795,25.75618994,25.98272802
252,25.92985967,25.60408853,25.7872756,25.9555075
253,25.9335317,25.58830487,25.81599484,25.96826681
254,26.03448876,25.59921097,25.76594735,25.97759474
255,26.00239366,25.58199238,25.8955226,25.93933139
256,25.95936287,25.59414086,25.83166817,25.9562497
257,25.90143762,25.5874408,25.7956376,25.97429766
258,25.90293688,25.60483973,25.7832272,25.95162737
259,25.88959684,25.60006493,25.81446964,25.96178012
260,25.92612292,25.59953129,25.81574614,25.9649229
261,25.89658337,25.59989725,25.8079861,25.97872267
262,25.92341178,25.62696901,25.79978066,25.98005784
263,25.96988419,25.63152135,25.82613035,25.9651028
264,25.9365156,25.61541785,25.82556416,25.96335539
265,26.01698812,25.60924453,25.90848912,25.98189598
266,25.86174772,25.60692345,25.88559871,25.98422396
267,25.97357641,25.63095991,25.80475031,26.00542841
268,25.97620902,25.62464415,25.84316455,26.01799678
269,25.98377786,25.63771323,25.81723514,26.01328386
270,25.95590482,25.63184626,25.80429446,26.0045286
271,26.02090074,25.64101069,25.79252245,26.00398425
272,26.02065972,25.64697702,25.81221037,26.00144682
273,26.01270396,25.62977689,25.84485081,26.00636296
274,26.01949688,25.64071802,25.82664397,26.0114369
275,26.01992523,25.62982128,25.77031432,25.99672683
276,25.99086215,25.62070257,25.75359193,26.01084071
277,25.99997117,25.5762956,25.72289045,25.9750889
278,26.26706268,25.56481164,25.68035518,25.9387232
279,25.82602939,25.5687277,25.66614081,26.00826997
280,25.91822292,25.58285341,25.67477905,25.97167842
281,25.9720418,25.57119395,25.65007331,25.95885637
282,25.96147703,25.56579801,25.70258836,25.97040043
283,25.93541569,25.56616863,25.70095745,25.95660725
284,25.96424787,25.54027593,25.6598779,25.95854223
285,25.97625741,25.54757958,25.61973209,25.94927592
286,25.96335179,25.52892488,25.6347654,25.93697258
287,25.92778107,25.51856866,25.6393174,25.92494564
288,25.96029982,25.50938998,25.65730282,25.92228759
289,25.90320156,25.4790863,25.54877609,25.90452116
290,25.96273076,25.49698822,25.45094559,25.93141777
291,25.90945811,25.4898148,25.56637185,25.8832058
292,25.909181,25.50600464,25.5965758,25.8991387
293,25.90617055,25.51024912,25.61932265,25.91552244
294,25.88995541,25.51320458,25.60778071,25.93924996
295,25.90703552,25.52599917,25.62134732,25.93564943
296,25.90647358,25.53923165,25.63044999,25.93976559
297,25.87981983,25.54678409,25.6106319,25.93616692
298,25.9127567,25.53411597,25.65581223,25.94182004
299,25.89754155,25.52038608,25.65862664,25.95249568
300,25.90655567,25.55573095,25.7094928,25.9650446
301,25.92412314,25.56047588,25.6552825,25.98446787
302,25.91989939,25.56407715,25.82214031,25.97531935
303,26.01270398,25.56402185,25.73988974,25.97408795
304,25.95778301,25.56195754,25.73198345,25.98367882
305,25.94109615,25.56404555,25.72499695,25.98220288
306,25.96495619,25.57578817,25.7632228,25.98536518
307,25.96437861,25.57458491,25.73659405,25.98266564
308,25.95926339,25.57588967,25.7684038,25.98363728
309,25.97501668,25.59235293,25.81126729,25.99690109
310,25.96448734,25.59328949,25.79707506,26.01129547
311,26.01094827,25.61730739,25.83055308,26.03808136
312,26.02136007,25.63651613,25.80374878,26.06331039
313,26.00292322,25.60789185,25.92308737,26.05448108
314,26.28158499,25.63006538,25.87689441,26.07986626
315,25.99668869,25.66197539,25.89415338,26.06527946
316,26.04197241,25.66363602,25.90028174,26.0609914
317,26.04746048,25.68934997,25.94140049,26.06547568
318,26.06960994,25.67740132,25.92261624,26.07268023
319,26.05304509,25.66107951,25.95429337,26.0814028
320,26.04918252,25.6488805,25.95591696,26.0890222
321,26.12724684,25.66874375,25.97462656,26.10609897
322,26.08945708,25.66601479,25.96360619,26.10718275
323,26.05497997,25.65707048,25.86301712,26.07190553
324,25.9734785,25.62974729,25.73315414,26.09645874
