mon day year BHP VALE
10 6 2003 14.02 3.43
10 7 2003 14.01 3.44
10 8 2003 13.95 3.36
10 9 2003 14.47 3.35
10 10 2003 14.53 3.33
10 13 2003 15.06 3.48
10 14 2003 15.02 3.54
10 15 2003 15.2 3.51
10 16 2003 15.32 3.51
10 17 2003 15.24 3.48
10 20 2003 15.19 3.44
10 21 2003 15.5 3.46
10 22 2003 15.34 3.36
10 23 2003 14.9 3.32
10 24 2003 14.58 3.28
10 27 2003 14.73 3.3
10 28 2003 15.02 3.35
10 29 2003 14.63 3.41
10 30 2003 15.28 3.49
10 31 2003 15.19 3.44
11 3 2003 15.06 3.45
11 4 2003 15.19 3.48
11 5 2003 14.86 3.4
11 6 2003 15.23 3.31
11 7 2003 15.35 3.31
11 10 2003 15.38 3.21
11 11 2003 14.98 3.19
11 12 2003 15.31 3.26
11 13 2003 15.38 3.3
11 14 2003 14.98 3.28
11 17 2003 14.68 3.19
11 18 2003 14.92 3.16
11 19 2003 15.01 3.16
11 20 2003 14.63 3.17
11 21 2003 14.59 3.16
11 24 2003 14.47 3.17
11 25 2003 14.87 3.27
11 26 2003 15.11 3.27
11 28 2003 15.31 3.29
12 1 2003 15.53 3.46
12 2 2003 15.56 3.48
12 3 2003 16.04 3.47
12 4 2003 15.98 3.58
12 5 2003 15.9 3.65
12 8 2003 16.11 3.83
12 9 2003 16.14 4.01
12 10 2003 16.06 3.88
12 11 2003 15.99 3.9
12 12 2003 16.23 4.04
12 15 2003 16.4 4.06
12 16 2003 16.16 4.08
12 17 2003 16.23 4.07
12 18 2003 16.57 4.13
12 19 2003 16.63 4.24
12 22 2003 16.52 4.41
12 23 2003 16.39 4.35
12 24 2003 17 4.39
12 26 2003 17 4.43
12 29 2003 17.03 4.48
12 30 2003 17.07 4.38
12 31 2003 17 4.4
1 2 2004 17.29 4.57
1 5 2004 17.87 4.73
1 6 2004 17.87 4.67
1 7 2004 17.23 4.54
1 8 2004 17.4 4.64
1 9 2004 16.87 4.57
1 12 2004 16.99 4.6
1 13 2004 16.75 4.61
1 14 2004 17.27 4.56
1 15 2004 16.63 4.43
1 16 2004 16.34 4.41
1 20 2004 16.84 4.51
1 21 2004 17.03 4.4
1 22 2004 17.02 4.34
1 23 2004 17.08 4.29
1 26 2004 17.08 4.23
1 27 2004 16.81 4.35
1 28 2004 16.24 4.23
1 29 2004 15.68 4.1
1 30 2004 15.92 4.03
2 2 2004 15.91 4.1
2 3 2004 15.79 4.38
2 4 2004 15.9 4.43
2 5 2004 16.29 4.23
2 6 2004 16.46 4.27
2 9 2004 16.78 4.36
2 10 2004 16.9 4.43
2 11 2004 17.33 4.54
2 12 2004 17.57 4.59
2 13 2004 17.45 4.48
2 17 2004 17.97 4.51
2 18 2004 17.62 4.39
2 19 2004 18.56 4.29
2 20 2004 17.97 4.28
2 23 2004 17.64 4.19
2 24 2004 17.56 4.22
2 25 2004 17.47 4.31
2 26 2004 17.78 4.32
2 27 2004 17.79 4.35
3 1 2004 18.36 4.54
3 2 2004 18.22 4.52
3 3 2004 17.59 4.45
3 4 2004 17.49 4.44
3 5 2004 17.86 4.36
3 8 2004 17.5 4.26
3 9 2004 17.54 4.18
3 10 2004 16.76 3.93
3 11 2004 16.34 3.8
3 12 2004 16.8 3.94
3 15 2004 16.67 3.89
3 16 2004 16.94 3.86
3 17 2004 17.34 4.05
3 18 2004 17.45 4.06
3 19 2004 17.26 4.04
3 22 2004 16.88 3.94
3 23 2004 17.04 3.92
3 24 2004 16.34 3.83
3 25 2004 16.75 3.76
3 26 2004 16.91 3.92
3 29 2004 17.11 4.01
3 30 2004 17.39 4.1
3 31 2004 17.48 4.13
4 1 2004 17.8 4.17
4 2 2004 18.04 4.23
4 5 2004 17.81 4.27
4 6 2004 17.62 4.29
4 7 2004 17.82 4.23
4 8 2004 17.64 4.16
4 12 2004 17.86 4.16
4 13 2004 17.32 4.02
4 14 2004 16.9 3.95
4 15 2004 16.89 3.98
4 16 2004 17.12 4.04
4 19 2004 17.03 4.02
4 20 2004 16.65 3.88
4 21 2004 16.15 3.74
4 22 2004 16.69 3.72
4 23 2004 16.82 3.78
4 26 2004 16.47 3.7
4 27 2004 16.53 3.73
4 28 2004 15.75 3.48
4 29 2004 15.31 3.45
4 30 2004 15.41 3.47
5 3 2004 15.45 3.36
5 4 2004 16.01 3.49
5 5 2004 16.16 3.55
5 6 2004 15.65 3.4
5 7 2004 15.25 3.28
5 10 2004 14.92 3.22
5 11 2004 15.21 3.37
5 12 2004 15.21 3.31
5 13 2004 15.05 3.49
5 14 2004 15.03 3.44
5 17 2004 14.74 3.35
5 18 2004 15.15 3.6
5 19 2004 15.63 3.65
5 20 2004 15.31 3.58
5 21 2004 15.7 3.61
5 24 2004 15.73 3.7
5 25 2004 15.96 3.73
5 26 2004 16.05 3.81
5 27 2004 16.26 3.93
5 28 2004 16.2 3.86
6 1 2004 16.17 3.82
6 2 2004 15.81 3.75
6 3 2004 15.45 3.63
6 4 2004 15.71 3.76
6 7 2004 16.42 3.95
6 8 2004 16.24 3.89
6 9 2004 15.61 3.72
6 10 2004 15.93 3.78
6 14 2004 15.57 3.57
6 15 2004 15.96 3.46
6 16 2004 15.78 3.35
6 17 2004 15.95 3.46
6 18 2004 16.13 3.5
6 21 2004 16.18 3.46
6 22 2004 15.95 3.47
6 23 2004 16.11 3.56
6 24 2004 16.34 3.68
6 25 2004 16.42 3.73
6 28 2004 16.29 3.53
6 29 2004 16.2 3.56
6 30 2004 16.45 3.62
7 1 2004 16.43 3.57
7 2 2004 16.62 3.6
7 6 2004 16.86 3.54
7 7 2004 17.28 3.73
7 8 2004 17.12 3.62
7 9 2004 17.39 3.63
7 12 2004 17.46 3.66
7 13 2004 17.52 3.73
7 14 2004 17.31 3.77
7 15 2004 17.4 3.96
7 16 2004 17.63 4.11
7 19 2004 17.64 4.02
7 20 2004 17.45 4.1
7 21 2004 17.04 3.94
7 22 2004 16.94 3.91
7 23 2004 16.58 3.83
7 26 2004 16.62 3.78
7 27 2004 16.77 3.89
7 28 2004 16.88 4
7 29 2004 17.05 4.09
7 30 2004 17.35 4.11
8 2 2004 17.34 4.11
8 3 2004 17.59 4.08
8 4 2004 17.45 3.98
8 5 2004 17.29 3.93
8 6 2004 17.46 3.96
8 9 2004 17.4 3.95
8 10 2004 17.58 4.05
8 11 2004 17.34 4.01
8 12 2004 17.45 4.08
8 13 2004 17.64 4.09
8 16 2004 18.02 4.19
8 17 2004 17.9 4.3
8 18 2004 17.81 4.37
8 19 2004 18.16 4.46
8 20 2004 18.22 4.41
8 23 2004 18.12 4.29
8 24 2004 17.64 4.22
8 25 2004 17.6 4.32
8 26 2004 17.64 4.29
8 27 2004 17.73 4.33
8 30 2004 17.33 4.34
8 31 2004 17.57 4.4
9 1 2004 17.66 4.38
9 2 2004 17.82 4.38
9 3 2004 17.55 4.41
9 7 2004 17.42 4.54
9 8 2004 17.39 4.52
9 9 2004 17.43 4.55
9 10 2004 17.47 4.48
9 13 2004 17.48 4.5
9 14 2004 17.74 4.66
9 15 2004 17.46 4.66
9 16 2004 17.88 4.62
9 17 2004 18.39 4.73
9 20 2004 18.4 4.74
9 21 2004 18.8 4.75
9 22 2004 18.72 4.7
9 23 2004 18.96 4.61
9 24 2004 18.78 4.71
9 27 2004 18.68 4.58
9 28 2004 19.63 4.97
9 29 2004 19.82 5.18
9 30 2004 19.69 5.14
10 1 2004 20.09 5.2
10 4 2004 20.05 5.3
10 5 2004 20.52 5.41
10 6 2004 20.73 5.33
10 7 2004 20.6 5.25
10 8 2004 20.68 5.12
10 11 2004 20.64 5.13
10 12 2004 20.34 4.97
10 13 2004 19.35 4.76
10 14 2004 19.37 4.75
10 15 2004 19.47 5.06
10 18 2004 19.26 4.97
10 19 2004 18.88 4.8
10 20 2004 19.04 4.85
10 21 2004 19.62 5.04
10 22 2004 19.39 4.99
10 25 2004 19.64 4.96
10 26 2004 19.94 5.09
10 27 2004 20.05 5.09
10 28 2004 19.22 4.86
10 29 2004 19.61 4.94
11 1 2004 19.78 4.98
11 2 2004 19.63 4.91
11 3 2004 20.2 5.07
11 4 2004 20.56 5.1
11 5 2004 20.25 5.26
11 8 2004 19.98 5.26
11 9 2004 20.25 5.4
11 10 2004 20.64 5.35
11 11 2004 20.87 5.34
11 12 2004 20.97 5.65
11 15 2004 21.04 5.71
11 16 2004 20.72 5.39
11 17 2004 21.36 5.62
11 18 2004 21.1 5.53
11 19 2004 21.62 5.61
11 22 2004 21.31 5.55
11 23 2004 22.14 5.55
11 24 2004 22.38 5.62
11 26 2004 23.05 5.82
11 29 2004 22.91 5.72
11 30 2004 22.54 5.8
12 1 2004 22.7 5.78
12 2 2004 22.22 5.65
12 3 2004 22.62 5.7
12 6 2004 22.19 5.6
12 7 2004 21.59 5.55
12 8 2004 21.25 5.54
12 9 2004 21.11 5.63
12 10 2004 21.1 5.77
12 13 2004 21.71 5.93
12 14 2004 21.71 5.87
12 15 2004 21.77 5.92
12 16 2004 21.78 6.14
12 17 2004 22.1 6.19
12 20 2004 22.38 6.24
12 21 2004 22.65 6.5
12 22 2004 22.34 6.56
12 23 2004 22.47 6.5
12 27 2004 22.52 6.51
12 28 2004 22.9 6.77
12 29 2004 22.77 6.77
12 30 2004 22.6 6.69
12 31 2004 22.79 6.78
1 3 2005 22.35 6.54
1 4 2005 21.49 6.23
1 5 2005 21.55 6.09
1 6 2005 21.79 6.09
1 7 2005 21.77 6.23
1 10 2005 21.79 6.19
1 11 2005 22.06 6.14
1 12 2005 22.43 6.23
1 13 2005 22.26 6.41
1 14 2005 22.67 6.78
1 18 2005 22.62 6.77
1 19 2005 22.53 6.63
1 20 2005 22.48 6.54
1 21 2005 23.11 6.94
1 24 2005 23.72 7.13
1 25 2005 23.54 6.99
1 26 2005 23.7 7.17
1 27 2005 24.14 7.08
1 28 2005 23.75 6.99
1 31 2005 24.21 7.07
2 1 2005 24.87 7.16
2 2 2005 25.14 7.09
2 3 2005 24.76 6.98
2 4 2005 24.57 6.94
2 7 2005 24.9 7.01
2 8 2005 24.58 7.01
2 9 2005 24.19 6.86
2 10 2005 24.87 6.8
2 11 2005 25.03 6.78
2 14 2005 25.38 7.01
2 15 2005 25.85 7.12
2 16 2005 26.51 7.1
2 17 2005 26.78 7.3
2 18 2005 27.1 7.48
2 22 2005 27.03 7.81
2 23 2005 27.78 8.16
2 24 2005 27.83 8.54
2 25 2005 28.66 8.31
2 28 2005 29.18 8.18
3 1 2005 28.49 7.83
3 2 2005 28.24 7.97
3 3 2005 28.81 8.1
3 4 2005 29.18 8.44
3 7 2005 28.64 8.26
3 8 2005 28.63 8.08
3 9 2005 28.72 8.01
3 10 2005 28.52 7.75
3 11 2005 28.34 7.8
3 14 2005 28.67 7.6
3 15 2005 28.06 7.5
3 16 2005 28.12 7.46
3 17 2005 28.81 7.87
3 18 2005 29.01 7.86
3 21 2005 28.73 7.71
3 22 2005 28.11 7.64
3 23 2005 27.07 7.14
3 24 2005 26.78 7.38
3 28 2005 26.48 7.23
3 29 2005 25.88 6.92
3 30 2005 26.38 7.21
3 31 2005 26.79 7.39
4 1 2005 27.18 7.48
4 4 2005 26.95 7.24
4 5 2005 26.64 7.2
4 6 2005 26.41 7.2
4 7 2005 26.74 7.35
4 8 2005 27.02 7.36
4 11 2005 26.57 7.3
4 12 2005 26.86 7.17
4 13 2005 25.94 6.87
4 14 2005 24.82 6.5
4 15 2005 23.89 6.4
4 18 2005 24.38 6.49
4 19 2005 25.35 6.79
4 20 2005 24.97 6.71
4 21 2005 25.43 6.92
4 22 2005 25.25 6.71
4 25 2005 25.68 6.99
4 26 2005 24.85 6.8
4 27 2005 24.43 6.69
4 28 2005 23.53 6.31
4 29 2005 24.2 6.4
5 2 2005 24.6 6.41
5 3 2005 24.21 6.42
5 4 2005 24.55 6.65
5 5 2005 24.83 6.57
5 6 2005 24.64 6.67
5 9 2005 24.74 6.78
5 10 2005 24.33 6.54
5 11 2005 24.33 6.54
5 12 2005 23.34 6.21
5 13 2005 22.74 6.08
5 16 2005 22.74 6.36
5 17 2005 22.92 6.42
5 18 2005 23.59 6.8
5 19 2005 23.41 6.83
5 20 2005 22.83 6.7
5 23 2005 23.33 6.79
5 24 2005 23.88 6.96
5 25 2005 23.43 6.88
5 26 2005 23.7 7.05
5 27 2005 24.17 7.03
5 31 2005 24.03 6.89
6 1 2005 24.65 6.97
6 2 2005 24.84 7.09
6 3 2005 25.07 7.11
6 6 2005 25.32 6.92
6 7 2005 25.32 6.77
6 8 2005 24.94 6.74
6 9 2005 24.92 6.55
6 10 2005 25.14 6.63
6 13 2005 25.31 6.65
6 14 2005 25.3 6.79
6 15 2005 26.04 6.86
6 16 2005 26.8 7.18
6 17 2005 27.31 7.3
6 20 2005 27.09 7.23
6 21 2005 27.01 7.08
6 22 2005 26.82 6.98
6 23 2005 26 6.73
6 24 2005 25.67 6.64
6 27 2005 26.11 6.85
6 28 2005 26.63 7.02
6 29 2005 26.47 7.04
6 30 2005 26.13 6.95
7 1 2005 26.23 7.11
7 5 2005 26.57 7.01
7 6 2005 26.52 7.12
7 7 2005 26.18 7.16
7 8 2005 26.44 7.37
7 11 2005 27.02 7.52
7 12 2005 27.09 7.47
7 13 2005 26.8 7.55
7 14 2005 26.61 7.49
7 15 2005 26.49 7.35
7 18 2005 26.58 7.37
7 19 2005 26.46 7.48
7 20 2005 27.42 7.72
7 21 2005 27.98 7.86
7 22 2005 28.26 7.89
7 25 2005 27.95 7.57
7 26 2005 27.87 7.55
7 27 2005 28.03 7.57
7 28 2005 28.19 7.76
7 29 2005 28.36 7.73
8 1 2005 28.28 7.83
8 2 2005 28.91 8.04
8 3 2005 29.56 8.17
8 4 2005 29.06 8.09
8 5 2005 28.81 8.02
8 8 2005 29.74 8.14
8 9 2005 29.92 8.38
8 10 2005 30.02 8.53
8 11 2005 31.06 8.27
8 12 2005 31.11 8.23
8 15 2005 30.91 8.38
8 16 2005 30.24 8.11
8 17 2005 29.48 8.11
8 18 2005 29.11 7.91
8 19 2005 29.85 7.87
8 22 2005 30.9 8.21
8 23 2005 30.18 8.01
8 24 2005 29.23 7.71
8 25 2005 29.42 8.03
8 26 2005 29.43 7.94
8 29 2005 29.46 8.04
8 30 2005 29.48 8.06
8 31 2005 29.97 8.16
9 1 2005 31.02 8.29
9 2 2005 30.71 8.49
9 6 2005 30.18 8.63
9 7 2005 29.95 8.55
9 8 2005 29.79 8.61
9 9 2005 30.21 8.83
9 12 2005 29.95 8.83
9 13 2005 29.9 8.65
9 14 2005 30.46 8.69
9 15 2005 30.63 9.05
9 16 2005 31.64 9.46
9 19 2005 31.59 9.33
9 20 2005 31.22 9.31
9 21 2005 31.07 9.95
9 22 2005 31.35 9.94
9 23 2005 31.19 10.24
9 26 2005 32.06 10.42
9 27 2005 31.8 10.35
9 28 2005 32.54 10.46
9 29 2005 32.78 10.63
9 30 2005 32.72 10.41
10 3 2005 32.28 10.4
10 4 2005 31.98 10.11
10 5 2005 30.28 9.53
10 6 2005 29.85 9.03
10 7 2005 29.67 9.34
10 10 2005 29.94 9.68
10 11 2005 29.75 9.83
10 12 2005 29.48 9.35
10 13 2005 28.88 9.28
10 14 2005 29.26 9.47
10 17 2005 29.18 9.53
10 18 2005 28.91 9.24
10 19 2005 28.92 9.38
10 20 2005 28.15 8.9
10 21 2005 28.76 9.35
10 24 2005 29.29 9.61
10 25 2005 29.01 9.49
10 26 2005 29.63 9.56
10 27 2005 29.11 9.35
10 28 2005 29.42 9.63
10 31 2005 29.72 9.99
11 1 2005 30.03 10.21
11 2 2005 30.07 10.37
11 3 2005 30.57 10.51
11 4 2005 29.62 10.37
11 7 2005 29.68 10.4
11 8 2005 29.85 10.41
11 9 2005 29.44 10.31
11 10 2005 29.35 9.98
11 11 2005 30.09 10.16
11 14 2005 29.83 9.98
11 15 2005 30.02 10
11 16 2005 29.97 10.23
11 17 2005 30.63 10.43
11 18 2005 30.63 10.32
11 21 2005 30.96 10.44
11 22 2005 30.7 10.58
11 23 2005 30.52 10.62
11 25 2005 31.3 10.77
11 28 2005 30.99 10.53
11 29 2005 31.05 10.54
11 30 2005 30.8 10.48
12 1 2005 31.28 10.86
12 2 2005 31.63 10.89
12 5 2005 31.6 10.66
12 6 2005 31.74 10.63
12 7 2005 31.26 10.15
12 8 2005 31.21 10.1
12 9 2005 31.28 10.2
12 12 2005 31.73 10.21
12 13 2005 31.5 10.2
12 14 2005 31.21 10.08
12 15 2005 31.06 9.96
12 16 2005 30.92 9.94
12 19 2005 30.95 9.69
12 20 2005 31.39 9.74
12 21 2005 31.95 10.02
12 22 2005 31.53 9.95
12 23 2005 31.63 9.94
12 27 2005 31.02 9.85
12 28 2005 31.89 9.88
12 29 2005 32.18 10
12 30 2005 31.99 9.94
1 3 2006 33.51 10.39
1 4 2006 34.26 10.66
1 5 2006 33.56 10.72
1 6 2006 34.22 10.87
1 9 2006 34.78 11.02
1 10 2006 34.28 10.99
1 11 2006 34.71 11.16
1 12 2006 34.07 11.49
1 13 2006 34.31 11.43
1 17 2006 35.02 11.35
1 18 2006 34.37 11.12
1 19 2006 35.63 11.58
1 20 2006 35.02 11.23
1 23 2006 35.61 11.4
1 24 2006 35.76 11.56
1 25 2006 37.12 11.5
1 26 2006 37.14 11.99
1 27 2006 37.78 12.03
1 30 2006 37.93 12.08
1 31 2006 37.77 12.39
2 1 2006 37.53 12.17
2 2 2006 36.76 11.91
2 3 2006 36.52 11.8
2 6 2006 37.12 11.98
2 7 2006 35.42 11.44
2 8 2006 34.84 11.45
2 9 2006 35.29 11.42
2 10 2006 34.33 11.31
2 13 2006 33.56 11.08
2 14 2006 34.62 11.37
2 15 2006 34.36 11.52
2 16 2006 34.63 11.57
2 17 2006 34.75 11.41
2 21 2006 35.52 11.31
2 22 2006 35.62 11.59
2 23 2006 35.04 11.7
2 24 2006 35.09 11.75
2 27 2006 34.81 11.48
2 28 2006 34.55 11.22
3 1 2006 35.09 11.6
3 2 2006 35.44 11.59
3 3 2006 35.2 11.57
3 6 2006 34.46 11.25
3 7 2006 33.47 10.81
3 8 2006 33.08 10.54
3 9 2006 33.21 10.22
3 10 2006 33.68 10.45
3 13 2006 33.75 10.47
3 14 2006 34.28 10.66
