year mon unemp gdp
1989 7 5.233333 8.977222
1989 10 5.366667 8.979404
1990 1 5.3 8.989793
1990 4 5.333333 8.993763
1990 7 5.7 8.99375
1990 10 6.133333 8.984944
1991 1 6.6 8.980097
1991 4 6.833333 8.986822
1991 7 6.866667 8.991027
1991 10 7.1 8.994942
1992 1 7.366667 9.005859
1992 4 7.6 9.016428
1992 7 7.633333 9.026694
1992 10 7.366667 9.037153
1993 1 7.133333 9.038994
1993 4 7.066667 9.045371
1993 7 6.8 9.050618
1993 10 6.633333 9.063741
1994 1 6.566667 9.073432
1994 4 6.2 9.08702
1994 7 6 9.093436
1994 10 5.633333 9.10448
1995 1 5.466667 9.106934
1995 4 5.666667 9.109083
1995 7 5.666667 9.117446
1995 10 5.566667 9.12439
1996 1 5.533333 9.131221
1996 4 5.5 9.148359
1996 7 5.266667 9.157024
1996 10 5.333333 9.167882
1997 1 5.233333 9.175542
1997 4 5 9.19026
1997 7 4.866667 9.202731
1997 10 4.666667 9.21037
1998 1 4.633333 9.219776
1998 4 4.4 9.22873
1998 7 4.533333 9.241839
1998 10 4.433333 9.258997
1999 1 4.3 9.267864
1999 4 4.266667 9.27565
1999 7 4.233333 9.288292
1999 10 4.066667 9.306087
2000 1 4.033333 9.3087
2000 4 3.933333 9.328017
2000 7 4 9.328861
2000 10 3.9 9.334768
2001 1 4.233333 9.331478
2001 4 4.4 9.338003
2001 7 4.833333 9.335245
2001 10 5.5 9.338734
2002 1 5.7 9.347237
2002 4 5.833333 9.352543
2002 7 5.733333 9.357605
2002 10 5.866667 9.35795
2003 1 5.866667 9.362108
2003 4 6.133333 9.370544
2003 7 6.133333 9.38687
2003 10 5.833333 9.395873
2004 1 5.7 9.402439
2004 4 5.6 9.408855
2004 7 5.433333 9.416273
2004 10 5.433333 9.424419
2005 1 5.3 9.434683
2005 4 5.1 9.439124
2005 7 4.966667 9.447032
2005 10 4.966667 9.452157
2006 1 4.733333 9.464703
2006 4 4.633333 9.468751
2006 7 4.633333 9.468882
2006 10 4.433333 9.475654
2007 1 4.5 9.477011
2007 4 4.5 9.48597
2007 7 4.666667 9.493246
2007 10 4.8 9.497472
2008 1 5 9.49302
2008 4 5.333333 9.496308
2008 7 6 9.486979
2008 10 6.866667 9.463703
2009 1 8.266667 9.450223
2009 4 9.266667 9.449436
2009 7 9.633333 9.453028
2009 10 9.933333 9.462895
2010 1 9.766667 9.468666
2010 4 9.633333 9.474211
2010 7 9.533333 9.480635
2010 10 9.566667 9.486547
2011 1 9 9.486744
2011 4 9.033333 9.492862
2011 7 9.066667 9.496038
2011 10 8.7 9.506065
2012 1 8.266667 9.510919
2012 4 8.166667 9.514732
